signal_date,main_strategy_target,expanded_strategy_target,state,expanded_target_is_new_etf,combined_target_count
2022-08-15,CASH,CASH,both_cash,False,0
2022-08-16,159941.SZ,159941.SZ,same_etf,False,1
2022-08-17,159941.SZ,159941.SZ,same_etf,False,1
2022-08-18,159941.SZ,159941.SZ,same_etf,False,1
2022-08-19,159941.SZ,159941.SZ,same_etf,False,1
2022-08-22,159941.SZ,159941.SZ,same_etf,False,1
2022-08-23,159941.SZ,159941.SZ,same_etf,False,1
2022-08-24,159941.SZ,159941.SZ,same_etf,False,1
2022-08-25,159941.SZ,159941.SZ,same_etf,False,1
2022-08-26,159941.SZ,159941.SZ,same_etf,False,1
2022-08-29,CASH,CASH,both_cash,False,0
2022-08-30,CASH,CASH,both_cash,False,0
2022-08-31,159865.SZ,159865.SZ,same_etf,False,1
2022-09-01,159865.SZ,159865.SZ,same_etf,False,1
2022-09-02,159865.SZ,159865.SZ,same_etf,False,1
2022-09-05,159865.SZ,159865.SZ,same_etf,False,1
2022-09-06,159865.SZ,159865.SZ,same_etf,False,1
2022-09-07,159865.SZ,159865.SZ,same_etf,False,1
2022-09-08,159865.SZ,159865.SZ,same_etf,False,1
2022-09-09,159865.SZ,159865.SZ,same_etf,False,1
2022-09-13,159865.SZ,159865.SZ,same_etf,False,1
2022-09-14,159865.SZ,159865.SZ,same_etf,False,1
2022-09-15,CASH,CASH,both_cash,False,0
2022-09-16,CASH,CASH,both_cash,False,0
2022-09-19,CASH,CASH,both_cash,False,0
2022-09-20,CASH,CASH,both_cash,False,0
2022-09-21,CASH,CASH,both_cash,False,0
2022-09-22,CASH,CASH,both_cash,False,0
2022-09-23,CASH,CASH,both_cash,False,0
2022-09-26,CASH,CASH,both_cash,False,0
2022-09-27,CASH,CASH,both_cash,False,0
2022-09-28,CASH,CASH,both_cash,False,0
2022-09-29,CASH,CASH,both_cash,False,0
2022-09-30,CASH,CASH,both_cash,False,0
2022-10-10,518880.SH,518880.SH,same_etf,False,1
2022-10-11,159985.SZ,159985.SZ,same_etf,False,1
2022-10-12,159985.SZ,159985.SZ,same_etf,False,1
2022-10-13,159985.SZ,159985.SZ,same_etf,False,1
2022-10-14,159985.SZ,159985.SZ,same_etf,False,1
2022-10-17,159985.SZ,159985.SZ,same_etf,False,1
2022-10-18,159985.SZ,159985.SZ,same_etf,False,1
2022-10-19,159985.SZ,159985.SZ,same_etf,False,1
2022-10-20,159985.SZ,159985.SZ,same_etf,False,1
2022-10-21,159985.SZ,159985.SZ,same_etf,False,1
2022-10-24,159985.SZ,159985.SZ,same_etf,False,1
2022-10-25,159985.SZ,159985.SZ,same_etf,False,1
2022-10-26,159985.SZ,159985.SZ,same_etf,False,1
2022-10-27,159985.SZ,159985.SZ,same_etf,False,1
2022-10-28,159985.SZ,159985.SZ,same_etf,False,1
2022-10-31,159985.SZ,159985.SZ,same_etf,False,1
2022-11-01,159985.SZ,159985.SZ,same_etf,False,1
2022-11-02,159985.SZ,159985.SZ,same_etf,False,1
2022-11-03,159985.SZ,159985.SZ,same_etf,False,1
2022-11-04,159985.SZ,159985.SZ,same_etf,False,1
2022-11-07,159985.SZ,159985.SZ,same_etf,False,1
2022-11-08,159985.SZ,159985.SZ,same_etf,False,1
2022-11-09,159985.SZ,159985.SZ,same_etf,False,1
2022-11-10,159985.SZ,159985.SZ,same_etf,False,1
2022-11-11,159985.SZ,159985.SZ,same_etf,False,1
2022-11-14,159985.SZ,159985.SZ,same_etf,False,1
2022-11-15,159985.SZ,159985.SZ,same_etf,False,1
2022-11-16,159985.SZ,159985.SZ,same_etf,False,1
2022-11-17,159985.SZ,159985.SZ,same_etf,False,1
2022-11-18,159985.SZ,159985.SZ,same_etf,False,1
2022-11-21,159985.SZ,159985.SZ,same_etf,False,1
2022-11-22,159985.SZ,159985.SZ,same_etf,False,1
2022-11-23,159985.SZ,159985.SZ,same_etf,False,1
2022-11-24,159985.SZ,159985.SZ,same_etf,False,1
2022-11-25,159985.SZ,159985.SZ,same_etf,False,1
2022-11-28,159985.SZ,159985.SZ,same_etf,False,1
2022-11-29,513200.SH,513200.SH,same_etf,False,1
2022-11-30,513200.SH,513200.SH,same_etf,False,1
2022-12-01,513200.SH,513200.SH,same_etf,False,1
2022-12-02,513200.SH,513200.SH,same_etf,False,1
2022-12-05,513200.SH,513200.SH,same_etf,False,1
2022-12-06,513200.SH,513200.SH,same_etf,False,1
2022-12-07,513200.SH,513200.SH,same_etf,False,1
2022-12-08,513200.SH,513200.SH,same_etf,False,1
2022-12-09,513200.SH,513200.SH,same_etf,False,1
2022-12-12,513200.SH,513200.SH,same_etf,False,1
2022-12-13,513200.SH,513200.SH,same_etf,False,1
2022-12-14,513200.SH,513200.SH,same_etf,False,1
2022-12-15,513200.SH,513200.SH,same_etf,False,1
2022-12-16,513200.SH,513200.SH,same_etf,False,1
2022-12-19,513200.SH,513200.SH,same_etf,False,1
2022-12-20,513200.SH,513200.SH,same_etf,False,1
2022-12-21,513200.SH,513200.SH,same_etf,False,1
2022-12-22,513200.SH,513200.SH,same_etf,False,1
2022-12-23,513200.SH,513200.SH,same_etf,False,1
2022-12-26,513200.SH,513200.SH,same_etf,False,1
