variant,date,baseline,base_position,position
no_dde,2024-11-26,rich,159851.SZ,cash
no_dde,2024-11-27,rich,159851.SZ,cash
no_dde,2024-11-28,rich,159851.SZ,cash
no_dde,2024-11-29,rich,159851.SZ,cash
no_dde,2024-12-02,rich,159851.SZ,cash
no_dde,2024-12-03,rich,159851.SZ,cash
no_dde,2024-12-04,rich,159851.SZ,cash
no_dde,2024-12-05,rich,159851.SZ,cash
no_dde,2024-12-06,rich,159851.SZ,cash
no_dde,2024-12-09,rich,159851.SZ,cash
no_dde,2024-12-10,rich,159851.SZ,cash
no_dde,2025-01-23,rich,512800.SH,513520.SH
no_dde,2025-01-24,rich,512800.SH,513520.SH
no_dde,2025-01-27,rich,512800.SH,513500.SH
no_dde,2025-02-05,rich,512800.SH,513500.SH
no_dde,2025-02-06,rich,512800.SH,513500.SH
no_dde,2025-02-07,rich,512800.SH,cash
no_dde,2025-02-12,rich,513200.SH,cash
no_dde,2025-02-13,rich,513200.SH,cash
no_dde,2025-02-14,rich,513200.SH,cash
no_dde,2025-02-17,rich,513200.SH,cash
no_dde,2025-03-27,rich,518880.SH|513200.SH,518880.SH
no_dde,2025-05-16,rich,513200.SH,512800.SH
no_dde,2025-05-19,rich,513200.SH,512800.SH
no_dde,2025-05-20,rich,513200.SH,512800.SH
no_dde,2025-05-21,rich,513200.SH,512800.SH
no_dde,2025-05-22,rich,513200.SH,512800.SH
no_dde,2025-05-23,rich,513200.SH,512800.SH
no_dde,2025-05-26,rich,513200.SH,512800.SH
no_dde,2025-05-27,rich,513200.SH,512800.SH
no_dde,2025-05-28,rich,513530.SH,512800.SH
no_dde,2025-05-29,rich,513530.SH,512800.SH
no_dde,2025-05-30,rich,513530.SH,512800.SH
no_dde,2025-06-03,rich,513530.SH,512800.SH
no_dde,2025-06-04,rich,513530.SH,512800.SH
no_dde,2025-06-05,rich,513530.SH,512800.SH
no_dde,2025-06-06,rich,513530.SH,512800.SH
no_dde,2025-06-09,rich,513530.SH,512800.SH
no_dde,2025-06-10,rich,513530.SH,512800.SH
no_dde,2025-06-11,rich,513530.SH,512800.SH
no_dde,2025-06-12,rich,513530.SH,159865.SZ
no_dde,2025-06-13,rich,513530.SH,159865.SZ
no_dde,2025-06-16,rich,513530.SH,159865.SZ
no_dde,2025-06-17,rich,513530.SH,159865.SZ
no_dde,2025-06-18,rich,513530.SH,159865.SZ
no_dde,2025-06-19,rich,513530.SH,159865.SZ
no_dde,2025-06-20,rich,513530.SH|159869.SZ,159869.SZ
no_dde,2025-06-23,rich,513530.SH|159869.SZ,159869.SZ
no_dde,2025-10-16,rich,515050.SH,cash
no_dde,2025-10-17,rich,515050.SH,cash
no_dde,2025-10-20,rich,515050.SH,cash
no_dde,2025-10-21,rich,515050.SH,cash
no_dde,2025-10-22,rich,515050.SH,cash
no_dde,2025-10-23,rich,515050.SH,cash
no_dde,2025-10-24,rich,515050.SH,cash
no_dde,2025-10-27,rich,515050.SH,cash
no_dde,2025-10-28,rich,515050.SH,cash
no_dde,2025-10-29,rich,515050.SH,cash
no_dde,2025-10-30,rich,515050.SH,cash
no_dde,2025-10-31,rich,515050.SH,cash
no_dde,2025-11-03,rich,515050.SH,cash
no_dde,2025-12-23,rich,513500.SH,cash
no_dde,2026-04-08,rich,515050.SH,cash
no_dde,2026-04-09,rich,515050.SH,cash
no_dde,2026-04-10,rich,515050.SH,cash
no_dde,2026-04-13,rich,515050.SH,159915.SZ
no_dde,2026-04-14,rich,515050.SH,159915.SZ
no_dde,2026-04-15,rich,515050.SH,159915.SZ
no_dde,2026-04-16,rich,515050.SH,159915.SZ
no_dde,2026-04-17,rich,515050.SH,159915.SZ
no_dde,2026-04-20,rich,515050.SH,159915.SZ
no_dde,2026-04-21,rich,515050.SH,159915.SZ
no_dde,2026-04-22,rich,515050.SH,159915.SZ
no_dde,2026-04-23,rich,515050.SH,159915.SZ
no_dde,2026-04-24,rich,515050.SH,159915.SZ
no_dde,2026-04-27,rich,515050.SH,159915.SZ
no_dde,2026-04-28,rich,515050.SH,159915.SZ
no_dde,2026-04-29,rich,515050.SH,159915.SZ
no_dde,2026-04-30,rich,515050.SH,159915.SZ
no_dde,2026-05-06,rich,515050.SH,159915.SZ
no_dde,2026-05-07,rich,515050.SH,159915.SZ
no_dde,2026-05-08,rich,515050.SH,159915.SZ
no_dde,2026-05-11,rich,515050.SH,159915.SZ
no_dde,2026-05-12,rich,515050.SH,159915.SZ
no_dde,2026-05-13,rich,515050.SH,159915.SZ
no_dde,2026-05-14,rich,515050.SH,159915.SZ
no_dde,2026-05-15,rich,515050.SH,159915.SZ
no_dde,2026-05-18,rich,515050.SH,159915.SZ
no_dde,2026-05-19,rich,515050.SH,cash
no_dde,2026-05-20,rich,515050.SH,cash
no_dde,2026-05-21,rich,515050.SH,cash
no_dde,2026-05-22,rich,515050.SH,cash
no_dde,2026-05-25,rich,515050.SH,cash
no_dde,2026-05-26,rich,515050.SH,cash
no_dde,2026-05-27,rich,515050.SH,cash
no_dde,2026-05-28,rich,515050.SH,cash
no_dde,2026-05-29,rich,515050.SH,cash
no_dde,2026-06-01,rich,515050.SH,cash
no_dde,2026-06-02,rich,515050.SH,cash
no_dde,2026-06-03,rich,515050.SH,cash
no_dde,2026-06-04,rich,515050.SH,cash
no_dde,2026-06-05,rich,515050.SH,cash
no_dde,2026-06-08,rich,515050.SH,cash
no_dde,2026-06-09,rich,515050.SH,cash
no_dde,2026-06-10,rich,515050.SH,cash
no_dde,2026-06-11,rich,515050.SH,cash
no_dde,2026-06-12,rich,515050.SH,cash
no_dde,2026-06-15,rich,515050.SH,cash
no_dde,2026-06-16,rich,515050.SH,cash
no_dde,2026-06-17,rich,515050.SH,cash
no_dde,2026-06-18,rich,515050.SH,cash
no_dde,2026-06-22,rich,515050.SH,cash
no_dde,2026-06-23,rich,515050.SH,cash
no_dde,2026-06-24,rich,515050.SH,cash
no_dde,2026-06-25,rich,515050.SH,cash
no_dde,2026-06-26,rich,515050.SH,cash
no_dde,2026-06-29,rich,515050.SH,cash
no_dde,2026-07-13,rich,512010.SH,cash
no_dde,2026-07-17,rich,cash,512010.SH
no_dde,2026-07-20,rich,159985.SZ,512010.SH
no_dde,2026-07-21,rich,159985.SZ,512010.SH
no_dde,2026-07-22,rich,159985.SZ,512010.SH
no_dde,2026-07-23,rich,159985.SZ,512010.SH
no_dde,2026-07-24,rich,159985.SZ,512010.SH
no_dde,2026-07-27,rich,159985.SZ,512010.SH
no_dde,2026-07-28,rich,159985.SZ,512010.SH
no_dde,2026-07-29,rich,159985.SZ,512010.SH
no_dde,2026-07-30,rich,159985.SZ,512800.SH
no_dde,2026-07-31,rich,159985.SZ|512800.SH,512800.SH
specific,2024-01-15,rich,518880.SH,159941.SZ
specific,2024-06-12,rich,518880.SH,159941.SZ
specific,2024-06-13,rich,513500.SH,159941.SZ
specific,2024-06-14,rich,513500.SH,159941.SZ
specific,2024-06-17,rich,513500.SH,159941.SZ
specific,2024-06-18,rich,513500.SH,159941.SZ
specific,2024-06-19,rich,513500.SH,159941.SZ
specific,2024-06-20,rich,513500.SH,159941.SZ
specific,2024-06-21,rich,513500.SH,159941.SZ
specific,2024-06-24,rich,513500.SH,159941.SZ
specific,2024-06-25,rich,513500.SH,159941.SZ
specific,2024-06-26,rich,513500.SH,159941.SZ
specific,2024-06-27,rich,513500.SH,159941.SZ
specific,2024-06-28,rich,513500.SH,159941.SZ
specific,2024-07-01,rich,513500.SH,159941.SZ
specific,2024-07-02,rich,513500.SH,159941.SZ
specific,2024-07-03,rich,513500.SH,159941.SZ
specific,2024-07-04,rich,513500.SH,159941.SZ
specific,2024-07-05,rich,513500.SH,159941.SZ
specific,2024-07-08,rich,513500.SH,159941.SZ
specific,2024-07-09,rich,513500.SH,159941.SZ
specific,2024-07-10,rich,513500.SH,159941.SZ
specific,2024-07-11,rich,513500.SH,159941.SZ
specific,2024-07-12,rich,513500.SH,159941.SZ
specific,2024-07-15,rich,513500.SH,159941.SZ
specific,2024-07-16,rich,513500.SH,159941.SZ
specific,2024-07-17,rich,513500.SH,159941.SZ
specific,2024-07-18,rich,513500.SH,159941.SZ
specific,2024-07-19,rich,513500.SH,159941.SZ
specific,2024-07-22,rich,513500.SH,159941.SZ
specific,2024-07-31,rich,512800.SH,512760.SH
specific,2024-08-01,rich,512800.SH,512760.SH
specific,2024-08-02,rich,512800.SH,512760.SH
specific,2024-08-05,rich,512800.SH,512760.SH
specific,2024-08-06,rich,512800.SH,cash
specific,2024-08-07,rich,512800.SH,cash
specific,2024-09-25,rich,518880.SH,159851.SZ
specific,2024-11-19,rich,159851.SZ,cash
specific,2024-11-20,rich,159851.SZ,cash
specific,2024-11-21,rich,159851.SZ,cash
specific,2024-11-22,rich,159851.SZ,cash
specific,2024-11-25,rich,159851.SZ,cash
specific,2024-11-26,rich,159851.SZ,cash
specific,2024-11-27,rich,159851.SZ,cash
specific,2024-11-28,rich,159851.SZ,cash
specific,2024-11-29,rich,159851.SZ,cash
specific,2024-12-02,rich,159851.SZ,cash
specific,2024-12-03,rich,159851.SZ,cash
specific,2024-12-04,rich,159851.SZ,cash
specific,2024-12-05,rich,159851.SZ,cash
specific,2024-12-06,rich,159851.SZ,cash
specific,2024-12-09,rich,159851.SZ,cash
specific,2024-12-10,rich,159851.SZ,cash
specific,2025-01-23,rich,512800.SH,513520.SH
specific,2025-01-24,rich,512800.SH,513520.SH
specific,2025-01-27,rich,512800.SH,513500.SH
specific,2025-02-05,rich,512800.SH,513500.SH
specific,2025-02-06,rich,512800.SH,513500.SH
specific,2025-02-07,rich,512800.SH,cash
specific,2025-03-27,rich,518880.SH|513200.SH,512400.SH
specific,2025-03-28,rich,518880.SH,512400.SH
specific,2025-03-31,rich,518880.SH,512400.SH
specific,2025-04-01,rich,518880.SH,512400.SH
specific,2025-04-02,rich,518880.SH,512400.SH
specific,2025-04-03,rich,518880.SH,512400.SH
specific,2025-04-07,rich,518880.SH,cash
specific,2025-04-08,rich,518880.SH,159985.SZ
specific,2025-04-09,rich,518880.SH,159985.SZ
specific,2025-04-10,rich,518880.SH,159985.SZ
specific,2025-04-11,rich,518880.SH,159985.SZ
specific,2025-04-14,rich,518880.SH,159985.SZ
specific,2025-04-15,rich,518880.SH,159985.SZ
specific,2025-04-16,rich,518880.SH,159985.SZ
specific,2025-04-17,rich,518880.SH,159865.SZ
specific,2025-04-18,rich,518880.SH,159865.SZ
specific,2025-04-21,rich,518880.SH,159865.SZ
specific,2025-04-22,rich,518880.SH,159865.SZ
specific,2025-04-23,rich,518880.SH,159865.SZ
specific,2025-04-24,rich,518880.SH,159865.SZ
specific,2025-04-25,rich,518880.SH,159865.SZ
specific,2025-04-28,rich,518880.SH,159865.SZ
specific,2025-04-29,rich,518880.SH,159865.SZ
specific,2025-04-30,rich,518880.SH,159865.SZ
specific,2025-05-06,rich,518880.SH,159865.SZ
specific,2025-05-07,rich,518880.SH,159865.SZ
specific,2025-05-08,rich,518880.SH,159865.SZ
specific,2025-05-09,rich,518880.SH,512660.SH|159865.SZ
specific,2025-05-12,rich,518880.SH,512660.SH
specific,2025-05-13,rich,513200.SH,512660.SH
specific,2025-05-14,rich,513200.SH,512660.SH
specific,2025-05-15,rich,513200.SH,512660.SH
specific,2025-05-16,rich,513200.SH,512660.SH
specific,2025-05-19,rich,513200.SH,512800.SH
specific,2025-05-20,rich,513200.SH,512800.SH
specific,2025-05-21,rich,513200.SH,512800.SH
specific,2025-05-22,rich,513200.SH,512800.SH
specific,2025-05-23,rich,513200.SH,512800.SH
specific,2025-05-26,rich,513200.SH,512800.SH
specific,2025-05-27,rich,513200.SH,512800.SH
specific,2025-05-28,rich,513530.SH,512800.SH
specific,2025-05-29,rich,513530.SH,512800.SH
specific,2025-05-30,rich,513530.SH,512800.SH
specific,2025-06-03,rich,513530.SH,512800.SH
specific,2025-06-04,rich,513530.SH,512800.SH
specific,2025-06-05,rich,513530.SH,512800.SH
specific,2025-06-06,rich,513530.SH,512800.SH
specific,2025-06-09,rich,513530.SH,512800.SH
specific,2025-06-10,rich,513530.SH,512800.SH
specific,2025-06-11,rich,513530.SH,512800.SH
specific,2025-06-12,rich,513530.SH,159865.SZ
specific,2025-06-13,rich,513530.SH,159865.SZ
specific,2025-06-16,rich,513530.SH,159865.SZ
specific,2025-06-17,rich,513530.SH,159865.SZ
specific,2025-06-18,rich,513530.SH,159865.SZ
specific,2025-06-19,rich,513530.SH,cash
specific,2025-06-20,rich,513530.SH|159869.SZ,159869.SZ
specific,2025-06-23,rich,513530.SH|159869.SZ,159869.SZ
specific,2025-10-20,rich,515050.SH,cash
specific,2025-10-21,rich,515050.SH,cash
specific,2025-10-22,rich,515050.SH,cash
specific,2025-10-23,rich,515050.SH,cash
specific,2025-10-24,rich,515050.SH,cash
specific,2025-10-27,rich,515050.SH,cash
specific,2025-10-28,rich,515050.SH,cash
specific,2025-10-29,rich,515050.SH,cash
specific,2025-10-30,rich,515050.SH,cash
specific,2025-10-31,rich,515050.SH,cash
specific,2025-11-03,rich,515050.SH,cash
specific,2025-12-23,rich,513500.SH,cash
specific,2026-07-31,rich,159985.SZ|512800.SH,512800.SH
joint,2024-01-15,rich,518880.SH,159941.SZ
joint,2024-06-12,rich,518880.SH,159941.SZ
joint,2024-06-13,rich,513500.SH,159941.SZ
joint,2024-06-14,rich,513500.SH,159941.SZ
joint,2024-06-17,rich,513500.SH,159941.SZ
joint,2024-06-18,rich,513500.SH,159941.SZ
joint,2024-06-19,rich,513500.SH,159941.SZ
joint,2024-06-20,rich,513500.SH,159941.SZ
joint,2024-06-21,rich,513500.SH,159941.SZ
joint,2024-06-24,rich,513500.SH,159941.SZ
joint,2024-06-25,rich,513500.SH,159941.SZ
joint,2024-06-26,rich,513500.SH,159941.SZ
joint,2024-06-27,rich,513500.SH,159941.SZ
joint,2024-06-28,rich,513500.SH,159941.SZ
joint,2024-07-01,rich,513500.SH,159941.SZ
joint,2024-07-02,rich,513500.SH,159941.SZ
joint,2024-07-03,rich,513500.SH,159941.SZ
joint,2024-07-04,rich,513500.SH,159941.SZ
joint,2024-07-05,rich,513500.SH,159941.SZ
joint,2024-07-08,rich,513500.SH,159941.SZ
joint,2024-07-09,rich,513500.SH,159941.SZ
joint,2024-07-10,rich,513500.SH,159941.SZ
joint,2024-07-11,rich,513500.SH,159941.SZ
joint,2024-07-12,rich,513500.SH,159941.SZ
joint,2024-07-15,rich,513500.SH,159941.SZ
joint,2024-07-16,rich,513500.SH,159941.SZ
joint,2024-07-17,rich,513500.SH,159941.SZ
joint,2024-07-18,rich,513500.SH,159941.SZ
joint,2024-07-19,rich,513500.SH,159941.SZ
joint,2024-07-22,rich,513500.SH,159941.SZ
joint,2024-07-31,rich,512800.SH,512760.SH
joint,2024-08-01,rich,512800.SH,512760.SH
joint,2024-08-02,rich,512800.SH,512760.SH
joint,2024-08-05,rich,512800.SH,512760.SH
joint,2024-08-06,rich,512800.SH,cash
joint,2024-08-07,rich,512800.SH,cash
joint,2024-09-25,rich,518880.SH,159851.SZ
joint,2024-11-19,rich,159851.SZ,cash
joint,2024-11-20,rich,159851.SZ,cash
joint,2024-11-21,rich,159851.SZ,cash
joint,2024-11-22,rich,159851.SZ,cash
joint,2024-11-25,rich,159851.SZ,cash
joint,2024-11-26,rich,159851.SZ,cash
joint,2024-11-27,rich,159851.SZ,cash
joint,2024-11-28,rich,159851.SZ,cash
joint,2024-11-29,rich,159851.SZ,cash
joint,2024-12-02,rich,159851.SZ,cash
joint,2024-12-03,rich,159851.SZ,cash
joint,2024-12-04,rich,159851.SZ,cash
joint,2024-12-05,rich,159851.SZ,cash
joint,2024-12-06,rich,159851.SZ,cash
joint,2024-12-09,rich,159851.SZ,cash
joint,2024-12-10,rich,159851.SZ,cash
joint,2025-01-23,rich,512800.SH,513520.SH
joint,2025-01-24,rich,512800.SH,513520.SH
joint,2025-01-27,rich,512800.SH,513500.SH
joint,2025-02-05,rich,512800.SH,513500.SH
joint,2025-02-06,rich,512800.SH,513500.SH
joint,2025-02-07,rich,512800.SH,cash
joint,2025-02-12,rich,513200.SH,cash
joint,2025-02-13,rich,513200.SH,cash
joint,2025-02-14,rich,513200.SH,cash
joint,2025-02-17,rich,513200.SH,cash
joint,2025-03-27,rich,518880.SH|513200.SH,512400.SH
joint,2025-03-28,rich,518880.SH,512400.SH
joint,2025-03-31,rich,518880.SH,512400.SH
joint,2025-04-01,rich,518880.SH,512400.SH
joint,2025-04-02,rich,518880.SH,512400.SH
joint,2025-04-03,rich,518880.SH,512400.SH
joint,2025-04-07,rich,518880.SH,cash
joint,2025-04-08,rich,518880.SH,159985.SZ
joint,2025-04-09,rich,518880.SH,159985.SZ
joint,2025-04-10,rich,518880.SH,159985.SZ
joint,2025-04-11,rich,518880.SH,159985.SZ
joint,2025-04-14,rich,518880.SH,159985.SZ
joint,2025-04-15,rich,518880.SH,159985.SZ
joint,2025-04-16,rich,518880.SH,159985.SZ
joint,2025-04-17,rich,518880.SH,159865.SZ
joint,2025-04-18,rich,518880.SH,159865.SZ
joint,2025-04-21,rich,518880.SH,159865.SZ
joint,2025-04-22,rich,518880.SH,159865.SZ
joint,2025-04-23,rich,518880.SH,159865.SZ
joint,2025-04-24,rich,518880.SH,159865.SZ
joint,2025-04-25,rich,518880.SH,159865.SZ
joint,2025-04-28,rich,518880.SH,159865.SZ
joint,2025-04-29,rich,518880.SH,159865.SZ
joint,2025-04-30,rich,518880.SH,159865.SZ
joint,2025-05-06,rich,518880.SH,159865.SZ
joint,2025-05-07,rich,518880.SH,159865.SZ
joint,2025-05-08,rich,518880.SH,159865.SZ
joint,2025-05-09,rich,518880.SH,512660.SH|159865.SZ
joint,2025-05-12,rich,518880.SH,512660.SH
joint,2025-05-13,rich,513200.SH,512660.SH
joint,2025-05-14,rich,513200.SH,512660.SH
joint,2025-05-15,rich,513200.SH,513530.SH
joint,2025-05-16,rich,513200.SH,513530.SH
joint,2025-05-19,rich,513200.SH,513530.SH
joint,2025-05-20,rich,513200.SH,513530.SH
joint,2025-05-21,rich,513200.SH,513530.SH
joint,2025-05-22,rich,513200.SH,513530.SH
joint,2025-05-23,rich,513200.SH,513530.SH
joint,2025-05-26,rich,513200.SH,513530.SH
joint,2025-05-27,rich,513200.SH,513530.SH
joint,2025-06-20,rich,513530.SH|159869.SZ,159869.SZ
joint,2025-06-23,rich,513530.SH|159869.SZ,159869.SZ
joint,2025-10-16,rich,515050.SH,cash
joint,2025-10-17,rich,515050.SH,cash
joint,2025-10-20,rich,515050.SH,cash
joint,2025-10-21,rich,515050.SH,cash
joint,2025-10-22,rich,515050.SH,cash
joint,2025-10-23,rich,515050.SH,cash
joint,2025-10-24,rich,515050.SH,cash
joint,2025-10-27,rich,515050.SH,cash
joint,2025-10-28,rich,515050.SH,cash
joint,2025-10-29,rich,515050.SH,cash
joint,2025-10-30,rich,515050.SH,cash
joint,2025-10-31,rich,515050.SH,cash
joint,2025-11-03,rich,515050.SH,cash
joint,2025-12-23,rich,513500.SH,cash
joint,2026-04-08,rich,515050.SH,cash
joint,2026-04-09,rich,515050.SH,cash
joint,2026-04-10,rich,515050.SH,cash
joint,2026-04-13,rich,515050.SH,159915.SZ
joint,2026-04-14,rich,515050.SH,159915.SZ
joint,2026-04-15,rich,515050.SH,159915.SZ
joint,2026-04-16,rich,515050.SH,159915.SZ
joint,2026-04-17,rich,515050.SH,159915.SZ
joint,2026-04-20,rich,515050.SH,159915.SZ
joint,2026-04-21,rich,515050.SH,159915.SZ
joint,2026-04-22,rich,515050.SH,159915.SZ
joint,2026-04-23,rich,515050.SH,159915.SZ
joint,2026-04-24,rich,515050.SH,159915.SZ
joint,2026-04-27,rich,515050.SH,159915.SZ
joint,2026-04-28,rich,515050.SH,159915.SZ
joint,2026-04-29,rich,515050.SH,159915.SZ
joint,2026-04-30,rich,515050.SH,159915.SZ
joint,2026-05-06,rich,515050.SH,159915.SZ
joint,2026-05-07,rich,515050.SH,159915.SZ
joint,2026-05-08,rich,515050.SH,159915.SZ
joint,2026-05-11,rich,515050.SH,159915.SZ
joint,2026-05-12,rich,515050.SH,159915.SZ
joint,2026-05-13,rich,515050.SH,159915.SZ
joint,2026-05-14,rich,515050.SH,159915.SZ
joint,2026-05-15,rich,515050.SH,159915.SZ
joint,2026-05-18,rich,515050.SH,159915.SZ
joint,2026-05-19,rich,515050.SH,cash
joint,2026-05-20,rich,515050.SH,cash
joint,2026-05-21,rich,515050.SH,cash
joint,2026-05-22,rich,515050.SH,cash
joint,2026-05-25,rich,515050.SH,cash
joint,2026-05-26,rich,515050.SH,cash
joint,2026-05-27,rich,515050.SH,cash
joint,2026-05-28,rich,515050.SH,cash
joint,2026-05-29,rich,515050.SH,cash
joint,2026-06-01,rich,515050.SH,cash
joint,2026-06-02,rich,515050.SH,cash
joint,2026-06-03,rich,515050.SH,cash
joint,2026-06-04,rich,515050.SH,cash
joint,2026-06-05,rich,515050.SH,cash
joint,2026-06-08,rich,515050.SH,cash
joint,2026-06-09,rich,515050.SH,cash
joint,2026-06-10,rich,515050.SH,cash
joint,2026-06-11,rich,515050.SH,cash
joint,2026-06-12,rich,515050.SH,cash
joint,2026-06-15,rich,515050.SH,cash
joint,2026-06-16,rich,515050.SH,cash
joint,2026-06-17,rich,515050.SH,cash
joint,2026-06-18,rich,515050.SH,cash
joint,2026-06-22,rich,515050.SH,cash
joint,2026-06-23,rich,515050.SH,cash
joint,2026-06-24,rich,515050.SH,cash
joint,2026-06-25,rich,515050.SH,cash
joint,2026-06-26,rich,515050.SH,cash
joint,2026-06-29,rich,515050.SH,cash
joint,2026-07-13,rich,512010.SH,cash
joint,2026-07-17,rich,cash,512010.SH
joint,2026-07-20,rich,159985.SZ,512010.SH
joint,2026-07-21,rich,159985.SZ,512010.SH
joint,2026-07-22,rich,159985.SZ,512010.SH
joint,2026-07-23,rich,159985.SZ,512010.SH
joint,2026-07-24,rich,159985.SZ,512010.SH
joint,2026-07-27,rich,159985.SZ,512010.SH
joint,2026-07-28,rich,159985.SZ,512010.SH
joint,2026-07-29,rich,159985.SZ,512010.SH
joint,2026-07-30,rich,159985.SZ,512800.SH
joint,2026-07-31,rich,159985.SZ|512800.SH,512800.SH
joint_valid,2018-10-15,rich,512800.SH,518880.SH|512800.SH
joint_valid,2018-10-16,rich,512800.SH,518880.SH|512800.SH
joint_valid,2018-10-17,rich,cash,518880.SH
joint_valid,2018-10-18,rich,cash,518880.SH
joint_valid,2018-10-19,rich,cash,518880.SH
joint_valid,2018-10-22,rich,cash,518880.SH
joint_valid,2018-10-23,rich,cash,518880.SH
joint_valid,2018-10-24,rich,cash,518880.SH
joint_valid,2018-10-25,rich,cash,518880.SH
joint_valid,2018-10-26,rich,cash,518880.SH
joint_valid,2018-10-29,rich,cash,518880.SH
joint_valid,2018-10-30,rich,cash,518880.SH
joint_valid,2018-10-31,rich,cash,518880.SH
joint_valid,2018-11-01,rich,cash,518880.SH
joint_valid,2018-11-02,rich,cash,518880.SH
joint_valid,2018-11-05,rich,cash,518880.SH
joint_valid,2018-11-06,rich,512800.SH,518880.SH
joint_valid,2018-11-07,rich,512800.SH,518880.SH
joint_valid,2018-11-08,rich,512800.SH,518880.SH
joint_valid,2018-11-09,rich,512800.SH,518880.SH
joint_valid,2018-11-12,rich,512800.SH,518880.SH
joint_valid,2018-11-13,rich,cash,512800.SH
joint_valid,2018-11-14,rich,cash,512800.SH
joint_valid,2018-11-15,rich,cash,512800.SH
joint_valid,2018-11-16,rich,cash,512800.SH
joint_valid,2018-11-19,rich,cash,512800.SH
joint_valid,2018-11-30,rich,cash,518880.SH
joint_valid,2018-12-03,rich,cash,518880.SH
joint_valid,2018-12-12,rich,cash,518880.SH
joint_valid,2018-12-13,rich,cash,518880.SH
joint_valid,2018-12-14,rich,cash,518880.SH
joint_valid,2018-12-17,rich,cash,518880.SH
joint_valid,2018-12-18,rich,cash,518880.SH
joint_valid,2018-12-19,rich,cash,518880.SH
joint_valid,2018-12-20,rich,cash,518880.SH
joint_valid,2018-12-21,rich,cash,518880.SH
joint_valid,2018-12-24,rich,cash,518880.SH
joint_valid,2018-12-25,rich,cash,518880.SH
joint_valid,2018-12-26,rich,cash,518880.SH
joint_valid,2018-12-27,rich,cash,518880.SH
joint_valid,2018-12-28,rich,cash,518880.SH
joint_valid,2019-01-02,rich,cash,518880.SH
joint_valid,2019-01-03,rich,cash,518880.SH
joint_valid,2019-01-04,rich,cash,518880.SH
joint_valid,2019-01-07,rich,cash,518880.SH
joint_valid,2019-01-08,rich,cash,518880.SH
joint_valid,2019-01-09,rich,cash,518880.SH
joint_valid,2019-01-10,rich,cash,518880.SH
joint_valid,2019-01-11,rich,cash,518880.SH
joint_valid,2019-01-14,rich,cash,518880.SH
joint_valid,2019-01-15,rich,cash,518880.SH
joint_valid,2019-01-24,rich,cash,518880.SH
joint_valid,2019-05-28,rich,cash,518880.SH
joint_valid,2019-05-29,rich,cash,518880.SH
joint_valid,2019-05-30,rich,cash,518880.SH
joint_valid,2019-05-31,rich,cash,518880.SH
joint_valid,2019-06-03,rich,cash,518880.SH
joint_valid,2019-06-04,rich,cash,518880.SH
joint_valid,2019-06-05,rich,cash,518880.SH
joint_valid,2019-06-06,rich,cash,518880.SH
joint_valid,2019-06-10,rich,cash,518880.SH
joint_valid,2019-06-11,rich,cash,518880.SH
joint_valid,2019-06-12,rich,cash,518880.SH
