,baseline,rank5_1d,rank5_2d,gap3_1d,gap3_2d,gap5_1d,gap5_2d,gap10_1d,gap10_2d,rank8_gap5_1d,rank8_gap5_2d,top1_gap5_1d,top1_gap5_2d
2024-07-08,185582.76892037806,154711.94207394216,191977.3451317089,152763.88150461816,190685.1860328122,154509.6039923939,190685.1860328122,156027.38324347738,185294.5968572739,177820.89047766235,185582.76892037806,189352.48797362417,185582.76892037806
2024-07-09,186385.76815457758,155381.4414354572,192808.34433920553,153424.88087423943,191510.1852460309,155178.10335486263,191510.1852460309,156702.38259974722,186096.5960924271,178590.38974380997,186385.76815457758,190171.98719208807,186385.76815457758
2024-07-10,184940.3771910232,154176.34896957967,191312.55369074515,152235.08831270837,190025.19453005036,153974.81087773174,190025.19453005036,155487.39019576315,184653.00511761935,177205.29840326813,184940.3771910232,188696.89641421408,184940.3771910232
2024-07-11,187188.76738877705,156050.9407969722,193639.34354670212,154085.8802438607,192335.18445924955,155846.60271733132,192335.18445924955,157377.38195601702,186898.59532758023,179359.88900995755,187188.76738877705,190991.48641055194,187188.76738877705
2024-07-12,180282.97014565882,150293.2430955181,186492.74639971426,148401.2825132241,185240.1872916623,150097.50501244396,185240.1872916623,151572.38427344564,180001.39808102878,172742.19165182617,180282.97014565882,183943.78922408193,180282.97014565882
2024-07-15,185422.1805605453,154578.05177891348,191811.15717775992,152631.69108637475,190520.19799188813,154375.91368286937,190520.19799188813,155892.39302817587,185134.20848294528,177667.00163221863,185422.1805605453,189188.59985297293,185422.1805605453
2024-07-16,185100.96555085597,154310.23926460836,191478.74164469412,152367.27873095177,190190.18257097443,154108.50118725628,190190.18257097443,155622.38041106466,184813.39349194797,177359.18724871185,185100.96555085597,188860.78453486532,185100.96555085597
2024-07-17,183173.7712177795,152703.44398939703,189484.34750921896,150780.88339575432,188210.18839315613,152504.10590498775,188210.18839315613,154002.38517466787,182888.5991518143,175512.3926792195,183173.7712177795,186893.99031823248,183173.7712177795
2024-07-18,180122.38178582606,150159.3528004894,186326.5584457653,148269.0920949807,185075.19925073822,149963.81470291942,185075.19925073822,151437.39405814413,179841.00970670016,172588.30280638245,180122.38178582606,183779.9011034307,180122.38178582606
2024-07-19,177392.16907353816,147883.04220163915,183501.14529020956,146021.6816306939,182270.18619016846,147690.90411990017,182270.18619016846,149142.3833722234,177114.19701024325,169971.99062443283,177392.16907353816,180993.5881299314,177392.16907353816
2024-07-22,177070.97320886073,147615.2456494579,183168.7495697277,145757.285034739,181940.19043878754,147423.50756256908,181940.19043878754,148872.3868483663,176793.40114041598,169664.19458723572,177070.97320886073,180665.79235022634,177070.97320886073
2024-07-23,178607.37073284877,148896.28711691225,184758.79422161382,147021.96114852876,183518.6146574329,148702.61229115,183518.6146574329,150163.78959934527,178327.8619255305,171136.583699801,178607.37073284877,182233.8552853471,178607.37073284877
2024-07-24,177257.3720203091,147771.28818979586,183362.29555342,145910.46220853776,182131.115980656,147579.1133626031,182131.115980656,149028.29068224246,176979.36321156032,169843.5849329019,177257.3720203091,180856.85659855662,177257.3720203091
