date,price_core,core_plus_weak_edge,core_plus_entry_exceptions,full_strategy
2023-08-28,161724.24437320634,161724.24437320634,161724.24437320634,161724.24437320634
2023-08-29,162753.2352141182,162753.2352141182,162753.2352141182,162753.2352141182
2023-08-30,162410.24371898576,162410.24371898576,162410.24371898576,162410.24371898576
2023-08-31,162753.2352141182,162753.2352141182,162753.2352141182,162753.2352141182
2023-09-01,161038.2286719124,161038.2286719124,161038.2286719124,161038.2286719124
2023-09-04,158088.42984950944,158088.42984950944,158088.42984950944,158088.42984950944
2023-09-05,159803.43639171525,159803.43639171525,159803.43639171525,159803.43639171525
2023-09-06,162273.03730762406,162273.03730762406,162273.03730762406,162273.03730762406
2023-09-07,162478.83874690934,162478.83874690934,162478.83874690934,162478.83874690934
2023-09-08,159460.42854106828,159460.42854106828,159460.42854106828,159460.42854106828
2023-09-11,161038.2286719124,161038.2286719124,161038.2286719124,161038.2286719124
2023-09-12,159254.64345729753,159254.64345729753,159254.64345729753,159254.64345729753
2023-09-13,156716.4311579506,156716.4311579506,156716.4311579506,156716.4311579506
2023-09-14,155893.24175632402,155893.24175632402,155893.24175632402,155893.24175632402
2023-09-15,159186.03207385942,159186.03207385942,159186.03207385942,159186.03207385942
2023-09-18,157951.23979366227,157951.23979366227,157951.23979366227,157951.23979366227
2023-09-19,154452.63168132707,154452.63168132707,154452.63168132707,154452.63168132707
2023-09-20,156167.63822353288,156167.63822353288,156167.63822353288,156167.63822353288
2023-09-21,154589.83809268876,154589.83809268876,154589.83809268876,154589.83809268876
2023-09-22,155138.6310271065,155138.6310271065,155138.6310271065,155138.6310271065
2023-09-25,154589.83809268876,154589.83809268876,154589.83809268876,154589.83809268876
2023-09-26,155933.4940292742,155933.4940292742,155933.4940292742,155933.4940292742
2023-09-27,155938.3138922879,155938.3138922879,155938.3138922879,155938.3138922879
2023-09-28,155943.1337553016,155943.1337553016,155943.1337553016,155943.1337553016
2023-10-09,156011.65224845227,156011.65224845227,156011.65224845227,156011.65224845227
2023-10-10,156016.50320735638,156016.50320735638,156016.50320735638,156016.50320735638
2023-10-11,156021.35416626048,156021.35416626048,156021.35416626048,156021.35416626048
2023-10-12,156026.2051251646,156026.2051251646,156026.2051251646,156026.2051251646
2023-10-13,156031.0560840687,156031.0560840687,156031.0560840687,156031.0560840687
2023-10-16,156048.72896078104,156048.72896078104,156048.72896078104,156048.72896078104
2023-10-17,156053.57991968514,156053.57991968514,156053.57991968514,156053.57991968514
2023-10-18,156058.43087858925,156058.43087858925,156058.43087858925,156058.43087858925
2023-10-19,156063.28183749336,156063.28183749336,156063.28183749336,156063.28183749336
2023-10-20,156068.13279639746,156068.13279639746,156068.13279639746,156068.13279639746
2023-10-23,156085.8056731098,156085.8056731098,156085.8056731098,156085.8056731098
2023-10-24,156090.6566320139,156090.6566320139,156090.6566320139,156090.6566320139
2023-10-25,156095.50759091802,156095.50759091802,156095.50759091802,156095.50759091802
2023-10-26,156100.35854982212,156100.35854982212,156100.35854982212,156100.35854982212
2023-10-27,156105.20950872623,156105.20950872623,156105.20950872623,156105.20950872623
2023-10-30,156122.88238543857,156122.88238543857,156122.88238543857,156122.88238543857
2023-10-31,156127.73334434268,156127.73334434268,156127.73334434268,156127.73334434268
2023-11-01,156132.58430324678,156132.58430324678,156132.58430324678,156132.58430324678
2023-11-02,156137.4352621509,156137.4352621509,156137.4352621509,156137.4352621509
2023-11-03,156142.286221055,156142.286221055,156142.286221055,156142.286221055
2023-11-06,156159.95909776734,156159.95909776734,156159.95909776734,156159.95909776734
2023-11-07,154855.5304051657,154855.5304051657,154855.5304051657,154855.5304051657
2023-11-08,155545.562128302,155545.562128302,155545.562128302,155545.562128302
2023-11-09,154366.0672705139,154366.0672705139,154366.0672705139,154366.0672705139
2023-11-10,152007.0675115551,152007.0675115551,152007.0675115551,152007.0675115551
2023-11-13,150827.56261038434,150827.56261038434,150827.56261038434,150827.56261038434
2023-11-14,152007.0675115551,152007.0675115551,152007.0675115551,152007.0675115551
2023-11-15,153523.5680739845,153523.5680739845,153523.5680739845,153523.5680739845
2023-11-16,150490.56694912564,150490.56694912564,150490.56694912564,150490.56694912564
2023-11-17,150659.064779755,150659.064779755,150659.064779755,150659.064779755
2023-11-20,150659.064779755,150659.064779755,150659.064779755,150659.064779755
2023-11-21,150153.5612444843,150153.5612444843,150153.5612444843,150153.5612444843
2023-11-22,147120.5701630081,147120.5701630081,147120.5701630081,147120.5701630081
2023-11-23,149479.5699219669,149479.5699219669,149479.5699219669,149479.5699219669
2023-11-24,148300.06502079617,148300.06502079617,148300.06502079617,148300.06502079617
2023-11-27,148637.07072543752,148637.07072543752,148637.07072543752,148637.07072543752
2023-11-28,147922.77809766599,147922.77809766599,147922.77809766599,147922.77809766599
2023-11-29,147396.08106695855,147396.08106695855,147396.08106695855,147396.08106695855
2023-11-30,148080.81474912376,148080.81474912376,148080.81474912376,148080.81474912376
2023-12-01,146854.1725573219,146854.1725573219,146854.1725573219,146854.1725573219
2023-12-04,145382.73412843037,145382.73412843037,145382.73412843037,145382.73412843037
2023-12-05,141412.89414179433,141412.89414179433,141412.89414179433,141412.89414179433
2023-12-06,141954.76509002308,141954.76509002308,141954.76509002308,141954.76509002308
2023-12-07,140646.88659204237,140646.88659204237,140646.88659204237,140646.88659204237
2023-12-08,143024.38794690193,143024.38794690193,143024.38794690193,143024.38794690193
2023-12-11,143829.6962457207,143829.6962457207,143829.6962457207,143829.6962457207
2023-12-12,144996.08386287323,144996.08386287323,144996.08386287323,144996.08386287323
2023-12-13,146540.8304018854,146540.8304018854,146540.8304018854,146540.8304018854
2023-12-14,148331.63645695438,148331.63645695438,148331.63645695438,148331.63645695438
2023-12-15,146540.8304018854,146540.8304018854,146540.8304018854,146540.8304018854
2023-12-18,147517.63723324527,147517.63723324527,147517.63723324527,147517.63723324527
2023-12-19,148331.63645695438,148331.63645695438,148331.63645695438,148331.63645695438
2023-12-20,148820.03016899814,148820.03016899814,148820.03016899814,148820.03016899814
2023-12-21,146866.43591355078,146866.43591355078,146866.43591355078,146866.43591355078
2023-12-22,147680.4351372599,147680.4351372599,147680.4351372599,147680.4351372599
2023-12-25,147843.23304127448,147843.23304127448,147843.23304127448,147843.23304127448
