membership,challenger_count,single_total_return,single_cagr,single_sharpe,single_max_drawdown,dual_total_return,dual_cagr,dual_sharpe,dual_max_drawdown,dual_trade_count,new_etf_only_total_return,new_etf_only_cagr,new_etf_only_sharpe,new_etf_only_max_drawdown,new_etf_only_trade_count
560280+561380+512980+561360,4,5.184540815266821,0.2532596624909307,1.1671502014555268,-0.2531344160704029,5.399965981187469,0.25858758601693066,1.184157731007274,-0.2243713095268235,265.0,5.4323990452758855,0.2593760727475227,1.1844777332540521,-0.22023889116883855,266.0
560280+561380+513520+513030,4,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
560280+561380+513520+561360,4,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
560280+561380+513030+561360,4,5.48694325890104,0.26069428769613046,1.1855191516467825,-0.2218193578066835,5.457143275034081,0.2599752957210548,1.1860740602831383,-0.2218193578066835,266.0,5.4293803911791905,0.25930283282922795,1.1833588907997028,-0.2218193578066835,260.0
560280+512980+513520+513030,4,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
560280+512980+513520+561360,4,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
560280+512980+513030+561360,4,5.253538430144938,0.2549835842140271,1.1705322922232912,-0.2531344160704029,5.437557612991107,0.25950116252535516,1.187655257111898,-0.2243713095268235,276.0,5.441176528853933,0.25958886498095435,1.1852674570718513,-0.22023889116883855,269.0
560280+513520+513030+561360,4,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
561380+512980+513520+513030,4,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
561380+512980+513520+561360,4,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
561380+512980+513030+561360,4,5.253538430144938,0.2549835842140271,1.1705322922232912,-0.2531344160704029,5.437557612991107,0.25950116252535516,1.187655257111898,-0.2243713095268235,276.0,5.441176528853933,0.25958886498095435,1.1852674570718513,-0.22023889116883855,269.0
561380+513520+513030+561360,4,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
512980+513520+513030+561360,4,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
560280+561380+512980+513520+513030,5,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
560280+561380+512980+513520+561360,5,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
560280+561380+512980+513030+561360,5,5.253538430144938,0.2549835842140271,1.1705322922232912,-0.2531344160704029,5.437557612991107,0.25950116252535516,1.187655257111898,-0.2243713095268235,276.0,5.441176528853933,0.25958886498095435,1.1852674570718513,-0.22023889116883855,269.0
560280+561380+513520+513030+561360,5,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
560280+512980+513520+513030+561360,5,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
561380+512980+513520+513030+561360,5,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
560280+561380+512980+513520+513030+561360,6,4.591449421051664,0.23770301123022008,1.068594470165831,-0.2531344160704029,5.288471515979204,0.25585005036043107,1.1726151920783017,-0.2243713095268235,282.0,5.4222064282173115,0.2591286540244715,1.1825091686819524,-0.22023889116883855,277.0
