datetime,v4,formal_f,different
2022-06-29,CASH,159755.SZ,True
2022-06-30,CASH,159755.SZ,True
2022-07-01,CASH,159755.SZ,True
2022-07-04,CASH,159755.SZ,True
2022-07-05,CASH,159755.SZ,True
2022-07-06,CASH,159755.SZ,True
2022-07-07,CASH,159755.SZ,True
2022-07-08,CASH,159755.SZ,True
2022-07-11,CASH,159755.SZ,True
2022-07-12,CASH,159755.SZ,True
2022-07-13,CASH,159755.SZ,True
2022-07-14,CASH,159755.SZ,True
2022-07-15,CASH,159755.SZ,True
2022-07-18,CASH,159755.SZ,True
2022-07-19,CASH,159755.SZ,True
2022-07-20,CASH,159755.SZ,True
2022-07-21,CASH,159755.SZ,True
2022-07-22,CASH,159755.SZ,True
2022-07-25,CASH,159755.SZ,True
2022-07-26,CASH,159755.SZ,True
2022-07-27,CASH,159755.SZ,True
2022-08-04,159941.SZ,CASH,True
2022-08-05,159941.SZ,CASH,True
2022-08-08,159941.SZ,CASH,True
2022-08-09,159941.SZ,CASH,True
2022-08-10,159941.SZ,CASH,True
2022-08-11,159941.SZ,CASH,True
2022-08-12,159941.SZ,CASH,True
2022-08-15,159941.SZ,CASH,True
2022-08-22,CASH,159941.SZ,True
2022-08-23,CASH,159941.SZ,True
2022-08-24,CASH,159941.SZ,True
2022-08-25,CASH,159941.SZ,True
2022-08-26,CASH,159941.SZ,True
2022-09-08,CASH,159865.SZ,True
2022-09-09,CASH,159865.SZ,True
2022-09-13,CASH,159865.SZ,True
2022-09-14,CASH,159865.SZ,True
2022-10-10,CASH,518880.SH,True
2022-11-14,CASH,159985.SZ,True
2022-11-15,CASH,159985.SZ,True
2022-11-16,CASH,159985.SZ,True
2022-11-17,CASH,159985.SZ,True
2022-11-18,CASH,159985.SZ,True
2022-11-21,CASH,159985.SZ,True
2022-11-22,CASH,159985.SZ,True
2022-11-23,513200.SH,159985.SZ,True
2022-11-24,513200.SH,159985.SZ,True
2022-11-25,513200.SH,159985.SZ,True
2022-11-28,513200.SH,159985.SZ,True
2022-12-01,512200.SH,513200.SH,True
2022-12-02,512200.SH,513200.SH,True
2022-12-05,512200.SH,513200.SH,True
2022-12-06,512200.SH,513200.SH,True
2022-12-07,CASH,513200.SH,True
2022-12-08,CASH,513200.SH,True
2022-12-09,CASH,513200.SH,True
2022-12-12,CASH,513200.SH,True
2022-12-13,CASH,513200.SH,True
2022-12-14,CASH,513200.SH,True
2022-12-15,CASH,513200.SH,True
2022-12-16,CASH,513200.SH,True
2022-12-19,CASH,513200.SH,True
2022-12-20,CASH,513200.SH,True
2022-12-21,CASH,513200.SH,True
2022-12-22,CASH,513200.SH,True
2022-12-23,CASH,513200.SH,True
2022-12-26,CASH,513200.SH,True
2022-12-27,CASH,513200.SH,True
2022-12-28,CASH,513200.SH,True
2022-12-29,CASH,513200.SH,True
2022-12-30,CASH,513200.SH,True
2023-01-03,CASH,513200.SH,True
2023-01-04,CASH,513200.SH,True
2023-01-05,CASH,513200.SH,True
2023-01-06,CASH,513200.SH,True
2023-01-09,CASH,513200.SH,True
2023-01-10,CASH,513200.SH,True
2023-01-11,CASH,513200.SH,True
2023-01-12,CASH,513200.SH,True
2023-01-13,CASH,513200.SH,True
2023-01-16,CASH,513200.SH,True
2023-01-17,CASH,513200.SH,True
2023-01-18,CASH,513200.SH,True
2023-01-19,CASH,513200.SH,True
2023-01-20,CASH,513200.SH,True
2023-01-30,CASH,513200.SH,True
2023-02-08,CASH,512690.SH,True
2023-02-09,CASH,512690.SH,True
2023-02-10,CASH,512690.SH,True
2023-02-13,CASH,512690.SH,True
2023-02-14,CASH,512690.SH,True
2023-02-15,CASH,512690.SH,True
2023-02-16,CASH,512690.SH,True
2023-02-17,CASH,512690.SH,True
2023-02-20,CASH,512690.SH,True
2023-02-21,CASH,512690.SH,True
2023-02-22,CASH,512690.SH,True
2023-02-23,CASH,512690.SH,True
2023-02-24,CASH,512690.SH,True
2023-02-27,CASH,512690.SH,True
2023-02-28,CASH,512690.SH,True
2023-03-01,CASH,512690.SH,True
2023-03-02,CASH,512690.SH,True
2023-03-03,CASH,512690.SH,True
2023-03-06,CASH,512690.SH,True
2023-03-07,CASH,512690.SH,True
2023-04-28,CASH,510880.SH,True
2023-05-04,CASH,510880.SH,True
2023-05-05,CASH,510880.SH,True
2023-05-08,CASH,510880.SH,True
2023-05-09,CASH,510880.SH,True
2023-05-10,CASH,510880.SH,True
2023-05-11,CASH,510880.SH,True
2023-05-12,CASH,510880.SH,True
2023-05-15,CASH,510880.SH,True
2023-05-16,CASH,510880.SH,True
2023-05-22,CASH,510880.SH,True
2023-05-23,CASH,510880.SH,True
2023-05-30,CASH,513500.SH,True
2023-05-31,CASH,513500.SH,True
2023-06-01,CASH,513500.SH,True
2023-06-02,CASH,513500.SH,True
2023-06-05,CASH,513500.SH,True
2023-06-06,CASH,513500.SH,True
2023-06-07,CASH,513500.SH,True
2023-06-08,CASH,513500.SH,True
2023-06-09,CASH,513500.SH,True
2023-06-12,CASH,513500.SH,True
2023-06-13,CASH,513500.SH,True
2023-06-14,CASH,513500.SH,True
2023-06-15,CASH,513500.SH,True
2023-06-16,CASH,513500.SH,True
2023-06-19,CASH,513500.SH,True
2023-07-05,CASH,159985.SZ,True
2023-07-06,CASH,159985.SZ,True
2023-07-07,CASH,159985.SZ,True
2023-07-10,CASH,159985.SZ,True
2023-07-11,CASH,159985.SZ,True
2023-07-12,CASH,159985.SZ,True
