track,start,candidate,cost_multiplier,capital,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,without_best_round_return,removed_round
uniform_keyword,2021-01-04,True,1,100000,4.279894590932785,0.3402920978143875,0.28487535562447697,1.2085646478617307,2.1212702369362963,-0.32019762526542983,1.062756469640586,17.785247135161164,217.0,0.684943856107893,5351.178180371388,27370.645724117152,3.0,3.0,0.0,95.0,0.015,5008.849315068495,2075.0,795.2300000000012,2.5948341664042136,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 185982.9350555442}"
uniform_keyword,2021-01-04,True,2,100000,3.4766772203061445,0.3019188147511256,0.2865610364836174,1.0978359866269853,1.9265613709701555,-0.35387048000190424,0.8531901693226881,17.810037460970566,206.0,0.6862473288459959,9661.567111409575,49313.665582619906,3.0,3.0,0.0,84.0,0.015,4511.794520547952,2075.0,715.5799999999983,2.0534444729536934,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 158846.61250241665}"
uniform_keyword,2023-01-03,False,1,100000,6.1916934145756475,0.7080844871457146,0.29677068263523626,2.020824994591002,3.7337168622534955,-0.15682938879106967,4.51499870403139,18.268180371782243,136.0,0.7389893333213305,5025.406686341246,27221.013283490534,3.0,3.0,0.0,56.0,0.015,4448.424657534242,1346.0,721.3300000000002,3.431681938543166,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 303661.1790199494}"
uniform_keyword,2023-01-03,False,2,100000,5.329179087553975,0.6498835514228449,0.2983754223043184,1.8907251220925314,3.490307487623897,-0.16795638711571215,3.869358960282428,18.33089213103358,134.0,0.7404469100013562,9345.555719589489,50439.81120259165,3.0,3.0,0.0,53.0,0.015,4033.8493150684926,1346.0,652.1299999999983,2.9028778848959185,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 270110.57340515126}"
uniform_keyword,2023-01-03,True,1,100000,4.295820082746874,0.5719771104367783,0.3022321398119615,1.7042855084071933,3.050941210989022,-0.24247361410148272,2.3589251661724653,16.279231810687673,121.0,0.745472527476356,4029.68816118656,20930.842293645128,3.0,3.0,0.0,50.0,0.015,3607.068493150679,1346.0,574.1799999999995,2.605769956073592,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 186530.3407999162}"
uniform_keyword,2023-01-03,True,2,100000,3.7673629835110196,0.5277676002458593,0.30345041202594314,1.6009291803542203,2.864297704480019,-0.2520826127819783,2.093629522565747,16.29449977778706,116.0,0.7464552344319723,7558.713440866099,39186.26609585882,3.0,3.0,0.0,44.0,0.015,3344.6301369862986,1346.0,531.8899999999988,2.251905409382222,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 169158.8475049779}"
uniform_keyword,2024-01-02,False,1,100000,5.5712681218469,1.0142832227378986,0.3358968177468858,2.3323929638737977,4.3612450839391546,-0.1576870620633699,6.432253917764586,20.66896752764611,108.0,0.7923410425167089,4286.307103540733,22708.951602408877,3.0,3.0,0.0,43.0,0.015,3411.7397260273983,982.0,561.1100000000004,3.042303774319211,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 278526.1765138313}"
uniform_keyword,2024-01-02,False,2,100000,4.926067802750605,0.9383254003185615,0.3376105642328422,2.2037799102453755,4.1207843257714085,-0.16914833688396635,5.547352209334703,20.746074352968456,103.0,0.7937376055514884,8085.084329598408,42778.22598551987,3.0,3.0,0.0,38.0,0.015,3122.917808219179,982.0,512.8600000000006,2.649336135516332,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 253825.775647606}"
uniform_keyword,2024-01-02,True,1,100000,3.9128909442986597,0.8077542597280434,0.34253861239292693,1.9654665177288262,3.5558329204133305,-0.24272284717415493,3.327887214294563,17.89627629922262,90.0,0.7990731640246563,3379.416312891148,17132.234645615812,3.0,3.0,0.0,33.0,0.015,2702.7534246575333,982.0,437.03000000000003,2.3410475103426336,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 173543.21858653036}"
uniform_keyword,2024-01-02,True,2,100000,3.5253729410498442,0.7533449767202247,0.3436557714235274,1.8676959769626256,3.3791347777274097,-0.2520241752408229,2.989177431095102,17.913655082125693,88.0,0.7999420184510588,6421.131964394347,32584.707915226216,3.0,3.0,0.0,31.0,0.015,2530.9726027397255,982.0,409.34999999999985,2.0867810043243415,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 160565.31833617686}"
uniform_keyword,2025-01-02,False,1,100000,2.5829617104368876,1.131235368558058,0.3400135953882375,2.473334087533729,4.550086601754212,-0.15860047806246114,7.132610080232842,15.848942257628197,53.0,0.7481653018220845,1883.5027751734406,9508.372459108832,0.0,0.0,0.0,19.0,0.015,1649.6301369863006,616.0,271.54999999999984,1.1960661973851794,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 152912.01449263826}"
uniform_keyword,2025-01-02,False,2,100000,2.4039216974343263,1.0674311849978837,0.3404932376621859,2.377731254729565,4.375824842203155,-0.16985377006218572,6.284412672189043,15.879657291059162,52.0,0.7486047685906089,3660.7661106173914,18488.776359597447,0.0,0.0,0.0,18.0,0.015,1591.4794520547937,616.0,262.0300000000002,1.0927193867019844,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 146307.20109391288}"
uniform_keyword,2025-01-02,True,1,100000,2.014611626288164,0.9237766062958139,0.3485837618299597,2.1166685674501458,3.7408727794239507,-0.2395986966929422,3.8555159900543208,14.791949512385846,52.0,0.7530817596267084,1635.0410951108404,8366.242009112837,0.0,0.0,0.0,20.0,0.015,1459.4383561643835,616.0,236.66000000000014,1.0500251798029807,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 106058.46654966529}"
uniform_keyword,2025-01-02,True,2,100000,1.8778838613527373,0.8715529812916558,0.34875893270737696,2.0339520085916827,3.5980726651222605,-0.24855386219970488,3.5064954275037237,14.77867428743003,52.0,0.7534216132618544,3182.3408626484593,16250.745876098872,0.0,0.0,0.0,20.0,0.015,1414.3972602739725,616.0,229.49000000000012,0.9630865215981927,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 101632.8049696876}"
