gate,dimension,value,rank_cutoff,score_margin,confirmation_days,minimum_hold_days,path_hash,event_count,completed_20d_count,event_years,hit_rate_20d,median_edge_20d,largest_positive_edge_share,total_return,cagr,sharpe,max_drawdown,trade_count,delta_total_return,delta_sharpe,delta_max_drawdown
formal_complete,confirm,3.0,5,0.05,3,5,760d873b371d,1,1,1,1.0,0.06755858405369441,1.0,5.684945478908453,0.2652983616456184,1.202498633712723,-0.20906256593091377,266.0,0.08697440858593986,0.005127681135863593,0.0
formal_complete,hold,3.0,5,0.05,2,3,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,hold,5.0,5,0.05,2,5,9634b376ea2f,2,2,1,1.0,0.3351963184472271,0.9137917853567077,8.636409561411659,0.3239249257301313,1.3282026609002637,-0.20906256593091377,283.0,3.0384384910891455,0.1308317083234043,0.0
formal_complete,hold,10.0,5,0.05,2,10,3d606f2563fc,1,1,1,1.0,0.6125992845577743,1.0,8.459438256791467,0.3208890308432282,1.3199416040462304,-0.20906256593091377,281.0,2.8614671864689534,0.12257065146937096,0.0
uniform_price_proxy,rank,3.0,3,0.05,2,5,9cc3abd3478b,8,7,5,0.2857142857142857,-0.009634689024697218,0.9137917853567077,7.793385898643505,0.308997965843981,1.277207213097638,-0.22170971446533094,290.0,2.1954148283209918,0.07983626052077852,-0.012647148534417174
uniform_price_proxy,rank,5.0,5,0.05,2,5,d013c05614a2,5,5,3,0.4,-0.007765798721258821,0.9137917853567077,8.393762792967676,0.319749714773816,1.3158597289462846,-0.20298744389457812,288.0,2.7957917226451627,0.11848877636942512,0.006075122036335645
uniform_price_proxy,rank,7.0,7,0.05,2,5,69b95fe34fc8,2,2,2,0.0,-0.055939364610055275,,5.41414652168473,0.2588344652985113,1.1792569292570456,-0.22585156570214804,266.0,-0.18382454863778364,-0.01811402331981382,-0.01678899977123427
uniform_price_proxy,rank,10.0,10,0.05,2,5,00a49b27aac3,0,0,0,,,,5.597971070322513,0.26324771668052227,1.1973709525768594,-0.20906256593091377,264.0,0.0,0.0,0.0
uniform_price_proxy,margin,0.03,5,0.03,2,5,d013c05614a2,5,5,3,0.4,-0.007765798721258821,0.9137917853567077,8.393762792967676,0.319749714773816,1.3158597289462846,-0.20298744389457812,288.0,2.7957917226451627,0.11848877636942512,0.006075122036335645
uniform_price_proxy,margin,0.05,5,0.05,2,5,d013c05614a2,5,5,3,0.4,-0.007765798721258821,0.9137917853567077,8.393762792967676,0.319749714773816,1.3158597289462846,-0.20298744389457812,288.0,2.7957917226451627,0.11848877636942512,0.006075122036335645
uniform_price_proxy,margin,0.08,5,0.08,2,5,02f33cc6a41c,4,4,3,0.5,0.025013776807710497,0.9137917853567077,8.816624019024063,0.32696666472972113,1.3403533190783907,-0.20068050243376168,288.0,3.21865294870155,0.1429823665015313,0.008382063497152092
uniform_price_proxy,margin,0.1,5,0.1,2,5,eb6163300396,4,4,3,0.5,-0.007440307865001605,0.9137917853567077,8.364623277822943,0.3192419756022955,1.3107529688729442,-0.22692291673620146,285.0,2.76665220750043,0.1133820162960848,-0.017860350805287695
uniform_price_proxy,confirm,1.0,5,0.05,1,5,8945a0cb3e01,11,10,6,0.4,-0.021776494386611056,0.676533299768254,7.135649478229931,0.296454038771488,1.2229662580689995,-0.3477555937173529,292.0,1.5376784079074177,0.025595305492140064,-0.1386930277864391
uniform_price_proxy,confirm,2.0,5,0.05,2,5,d013c05614a2,5,5,3,0.4,-0.007765798721258821,0.9137917853567077,8.393762792967676,0.319749714773816,1.3158597289462846,-0.20298744389457812,288.0,2.7957917226451627,0.11848877636942512,0.006075122036335645
uniform_price_proxy,confirm,3.0,5,0.05,3,5,cd35a5806092,2,2,2,0.5,-0.0025576920064943054,1.0,5.546445403759978,0.26202166814276917,1.188751841356521,-0.22692291673620146,266.0,-0.051525666562535655,-0.008619111220338427,-0.017860350805287695
uniform_price_proxy,hold,3.0,5,0.05,2,3,3a10e512c007,6,6,3,0.3333333333333333,-0.034178069603370775,0.9137917853567077,7.057634243630773,0.29490774750009896,1.2256926300330395,-0.3293549112922116,286.0,1.4596631733082592,0.028321677456180083,-0.12029234536129785
uniform_price_proxy,hold,5.0,5,0.05,2,5,d013c05614a2,5,5,3,0.4,-0.007765798721258821,0.9137917853567077,8.393762792967676,0.319749714773816,1.3158597289462846,-0.20298744389457812,288.0,2.7957917226451627,0.11848877636942512,0.006075122036335645
uniform_price_proxy,hold,10.0,5,0.05,2,10,27f820e0e339,2,2,2,0.5,0.252511020916067,1.0,8.159345316153582,0.3156253795360573,1.303641967819497,-0.20906256593091377,282.0,2.561374245831068,0.1062710152426376,0.0
