,equity
2019-12-24,95835.86132555595
2019-12-25,95666.26350908866
2019-12-26,96344.66488390556
2019-12-27,94225.21049825235
2019-12-30,95831.81292859597
2019-12-31,95998.01409093423
2020-01-02,97937.01224175973
2020-01-03,97881.61625711007
2020-01-06,97292.52677711743
2020-01-07,97295.54307848729
2020-01-08,97298.55937985715
2020-01-09,97301.57568122701
2020-01-10,97304.59198259687
2020-01-13,97315.58088670646
2020-01-14,97318.59718807632
2020-01-15,97321.61348944619
2020-01-16,97324.62979081605
2020-01-17,97327.64609218591
2020-01-20,97338.6349962955
2020-01-21,97341.65129766536
2020-01-22,97344.66759903522
2020-01-23,97347.68390040509
2020-02-03,97390.56321547358
2020-02-04,97393.57951684344
2020-02-05,97396.5958182133
2020-02-06,97399.61211958317
2020-02-07,97402.62842095303
2020-02-10,97413.61732506262
2020-02-11,97416.63362643248
2020-02-12,97419.64992780234
2020-02-13,97422.6662291722
2020-02-14,97425.68253054206
2020-02-17,97436.67143465165
2020-02-18,97439.68773602151
2020-02-19,97442.70403739138
2020-02-20,97445.72033876124
2020-02-21,97448.7366401311
2020-02-24,97459.72554424069
2020-02-25,97462.74184561055
2020-02-26,97465.75814698041
2020-02-27,97468.77444835028
2020-02-28,97471.79074972014
2020-03-02,97482.77965382973
2020-03-03,97485.79595519959
2020-03-04,97488.81225656945
2020-03-05,97491.82855793931
2020-03-06,97494.84485930917
2020-03-09,97505.83376341876
2020-03-10,97508.85006478862
2020-03-11,97511.86636615849
2020-03-12,97514.88266752835
2020-03-13,97517.89896889821
2020-03-16,97528.8878730078
2020-03-17,97531.90417437766
2020-03-18,97534.92047574752
2020-03-19,97537.93677711739
2020-03-20,97540.95307848725
2020-03-23,97551.94198259684
2020-03-24,97554.9582839667
2020-03-25,97557.97458533656
2020-03-26,97560.99088670642
2020-03-27,97564.00718807628
2020-03-30,97574.99609218587
2020-03-31,97578.01239355573
2020-04-01,97581.0286949256
2020-04-02,97584.04499629546
2020-04-03,97587.06129766532
2020-04-07,97602.03650314477
2020-04-08,97605.05280451463
2020-04-09,97608.0691058845
2020-04-10,97611.08540725436
2020-04-13,97622.07431136395
2020-04-14,97625.09061273381
2020-04-15,97628.10691410367
2020-04-16,97631.12321547353
2020-04-17,97634.1395168434
2020-04-20,97645.12842095298
2020-04-21,97648.14472232285
2020-04-22,97651.16102369271
2020-04-23,97654.17732506257
2020-04-24,97657.19362643243
2020-04-27,97668.18253054202
2020-04-28,97671.19883191188
2020-04-29,97674.21513328174
2020-04-30,97677.2314346516
2020-05-06,97700.17924287078
2020-05-07,97703.19554424065
2020-05-08,97706.21184561051
2020-05-11,97717.2007497201
2020-05-12,97720.21705108996
2020-05-13,97723.23335245982
2020-05-14,97726.24965382968
2020-05-15,97729.26595519955
2020-05-18,97740.25485930913
2020-05-19,97743.271160679
2020-05-20,97746.28746204886
2020-05-21,97749.30376341872
2020-05-22,97752.32006478858
2020-05-25,97763.30896889817
2020-05-26,97766.32527026803
2020-05-27,97769.3415716379
2020-05-28,97772.35787300776
2020-05-29,97775.37417437762
2020-06-01,97786.36307848721
2020-06-02,97789.37937985707
2020-06-03,97792.39568122693
2020-06-04,97776.9500472772
2020-06-05,97700.44951226591
2020-06-08,96300.81171302653
2020-06-09,96506.11689038281
2020-06-10,97538.15030062717
2020-06-11,96656.65114129108
2020-06-12,94012.1536632828
2020-06-15,91720.25164568942
2020-06-16,95775.15198195499
2020-06-17,97185.55484021228
2020-06-18,97009.25711000484
2020-06-19,97714.45853913348
2020-06-22,97185.55484021228
2020-06-23,97736.20368428002
2020-06-24,98111.65783463538
2020-06-29,97118.80911210726
2020-06-30,97129.87233070342
2020-07-01,97132.88863207329
2020-07-02,97135.90493344315
2020-07-03,97138.92123481301
2020-07-06,97149.9101389226
2020-07-07,97152.92644029246
2020-07-08,97155.94274166232
2020-07-09,97158.95904303218
2020-07-10,97161.97534440205
2020-07-13,97172.96424851163
2020-07-14,97175.9805498815
2020-07-15,97178.99685125136
2020-07-16,97182.01315262122
2020-07-17,97185.02945399108
2020-07-20,97196.01835810067
2020-07-21,97199.03465947053
2020-07-22,97202.0509608404
2020-07-23,97205.06726221026
2020-07-24,97208.08356358012
2020-07-27,97219.07246768971
2020-07-28,97222.08876905957
2020-07-29,97225.10507042943
2020-07-30,97228.1213717993
2020-07-31,97231.13767316916
2020-08-03,97242.12657727874
2020-08-04,97245.1428786486
2020-08-05,97248.15918001847
2020-08-06,97251.17548138833
2020-08-07,97254.1917827582
2020-08-10,97265.18068686778
2020-08-11,97268.19698823764
2020-08-12,97271.2132896075
2020-08-13,97274.22959097737
2020-08-14,97277.24589234723
2020-08-17,97288.23479645682
2020-08-18,97291.25109782668
2020-08-19,97294.26739919654
2020-08-20,97297.2837005664
2020-08-21,97300.30000193627
2020-08-24,97311.28890604585
2020-08-25,97314.30520741572
2020-08-26,97317.32150878558
2020-08-27,97320.33781015544
2020-08-28,97323.3541115253
2020-08-31,97334.34301563489
2020-09-01,97337.35931700475
2020-09-02,97340.37561837462
2020-09-03,97343.39191974448
2020-09-04,97346.40822111434
2020-09-07,97357.39712522393
2020-09-08,97360.41342659379
2020-09-09,97363.42972796365
2020-09-10,97366.44602933351
2020-09-11,97369.46233070338
2020-09-14,97380.45123481296
2020-09-15,97383.46753618283
2020-09-16,97386.48383755269
2020-09-17,97389.50013892255
2020-09-18,97392.51644029241
2020-09-21,97403.505344402
2020-09-22,97406.52164577186
2020-09-23,97409.53794714173
2020-09-24,97412.55424851159
2020-09-25,97415.57054988145
2020-09-28,97426.55945399104
2020-09-29,97429.5757553609
2020-09-30,97432.59205673076
2020-10-09,97467.49876905953
2020-10-12,97478.48767316912
2020-10-13,97481.50397453898
2020-10-14,97484.52027590884
2020-10-15,97487.5365772787
2020-10-16,97490.55287864857
