symbol,entry_date,exit_date,entry_price,exit_price,startup_anchor_date,peak_date,entry_delay_days,exit_delay_days,holding_days,entry_markup_from_base,post_entry_peak_return,peak_giveback,move_capture_ratio,false_start,entry_forward_max_return_20d,entry_forward_return_20d,post_exit_max_return_10d,fixed_horizon_false_buy,material_premature_exit,failed_operation
512760.SH,2021-06-08,2021-08-19,0.6437716066837311,0.7550927823781968,2021-05-11,2021-07-30,20,14,51,0.17476575264898075,0.36539107810957305,-0.14096385049527793,0.6256579622884508,False,0.18364963040851623,0.18364963040851623,0.08331060458599993,False,True,True
159865.SZ,2021-10-28,2021-10-29,0.8039635732650757,0.7910495957136154,2021-09-23,2021-11-04,20,-4,1,0.0762564870760849,0.08960158924584727,-0.09697533408710068,0.341469875398578,False,0.08960158924584727,0.02119052065826188,0.10738946315388298,False,True,True
512980.SH,2021-11-11,2021-11-17,0.7388855756521225,0.7870543876171112,2021-10-28,2021-11-17,10,0,4,0.0914115077466231,0.07459132473000119,-0.008747659556898824,0.9406355609329902,False,0.07459132473000119,0.03534296906488499,-0.0026101898717409977,False,False,False
510630.SH,2021-10-29,2021-11-18,1.3876632372379305,1.4073092390537263,2021-09-24,2021-11-04,20,10,14,0.07155465886028378,0.03555387047645353,-0.020661653748870634,0.7909099955254573,True,0.03555387047645353,0.012493473694920265,0.009728327208436971,True,False,True
159865.SZ,2021-11-17,2021-11-26,0.8640355756521225,0.820014779996872,2021-10-28,2021-11-18,14,6,7,0.09233320641789056,-0.005827941133794146,-0.04538445395728674,0.4266876982182619,True,-0.005827941133794146,-0.045178217972783985,0.024371748247221214,True,False,True
512690.SH,2021-11-25,2021-12-28,0.9611519785165789,1.0097868371486665,2021-11-12,2021-12-14,9,10,23,0.1267901467441226,0.10492415349203355,-0.04916496921773783,0.7501761418921021,False,0.10492415349203355,0.06642861802157962,-0.03048847902608287,False,False,False
512200.SH,2022-01-25,2022-02-07,2.3287911751747137,2.203352889537811,2021-12-29,2022-02-21,18,-10,4,0.05137303178997055,-0.009357323923375294,-0.0449271936602772,-0.12659808332210537,True,-0.009357323923375294,-0.04671571574309252,0.04704059560910223,True,False,True
159981.SZ,2022-02-15,2022-04-07,1.6489763551235201,1.6899696314334869,2022-01-11,2022-03-07,20,21,35,0.09421127306980615,0.1249403384771599,-0.08896516762432538,0.5257748157394599,False,0.1249403384771599,-0.012114428784781972,0.023687045551253005,False,False,False
510880.SH,2022-04-13,2022-04-22,2.4499364267349244,2.3292016171455385,2022-03-15,2022-04-14,19,6,7,0.15726797710911455,0.03472076179916628,-0.08118282513497921,0.5076591456058828,True,0.03472076179916628,-0.05385296822149155,-0.002233269701885421,True,False,True
518880.SH,2022-05-09,2022-05-16,3.9467303121566775,3.872347693347931,2022-04-06,2022-05-09,20,5,5,0.0288660968404566,-0.001958689919029477,-0.016921096667387503,0.35289081485974333,True,-0.001958689919029477,-0.02349545402641684,0.011531082821381267,True,False,True
159981.SZ,2022-05-30,2022-06-14,1.7390843885421754,1.8198136266708373,2022-05-10,2022-06-08,14,4,10,0.07550056028366647,0.07355341470955845,-0.02527389262263069,0.8112545715332027,False,0.07355341470955845,-0.0374245000273975,-0.022976874620042276,False,False,False
159755.SZ,2022-06-07,2022-07-29,1.1213440047740937,1.2055516171455383,2022-05-09,2022-07-07,20,16,38,0.29935577795217916,0.17715887973023503,-0.08670335663543716,0.7495658291454664,False,0.16645736095254526,0.1477298094008821,0.02608629192073275,False,False,False
159941.SZ,2022-08-17,2022-08-30,0.7149250995218753,0.6612098876357079,2022-07-27,2022-08-17,15,9,9,0.11881862460462944,-0.0068890027540524645,-0.06871843997346161,0.31281542719752264,True,-0.0068890027540524645,-0.09081388163201098,0.02841778362395253,True,False,True
159865.SZ,2022-09-01,2022-09-16,0.8760500000000001,0.8439860285758972,2022-08-10,2022-09-02,16,9,10,0.06059325217672429,0.013640786991714782,-0.049565295383969366,0.2900974654581667,True,0.013640786991714782,-0.10963989339675773,-0.009462245858504414,True,False,True
518880.SH,2022-10-11,2022-10-12,3.808564700698853,3.797437645721436,2022-09-16,2022-10-25,12,-9,1,0.021610723361855655,0.004840459195293301,-0.007724655802246794,0.7013912743596352,True,0.007991274493544198,0.007991274493544198,0.007784790630358973,True,False,True
159985.SZ,2022-10-12,2022-12-05,1.7571059952259065,1.8547715933322908,2022-09-06,2022-12-09,20,-4,38,0.0655584859914633,0.10636467635073488,-0.04589938895427814,0.697530761456521,False,0.052298485199861355,0.052298485199861355,0.04810749351053345,False,False,False
513200.SH,2022-11-30,2023-02-02,0.967605473703146,1.102016519021988,2022-11-03,2023-01-16,19,8,40,0.11091329817275142,0.17196520126457826,-0.028204079628024736,0.8783899978401822,False,0.06345000295513836,0.05001476328628951,0.009059273941538049,False,False,False
512690.SH,2023-02-09,2023-03-09,0.8820571823358536,0.9059116052389147,2023-01-06,2023-02-20,19,13,20,0.003478013881033304,0.08836478832366312,-0.05634205678373194,0.3322420611735227,False,0.08836478832366312,0.020341984830022586,-0.0021101628056048316,False,False,False
510880.SH,2023-05-04,2023-05-25,2.6391631178855897,2.5549304876327517,2023-03-31,2023-05-08,20,13,15,0.06503760981037643,0.07344632299825249,-0.09815371072478818,0.21670579686200958,False,0.07344632299825249,-0.02658536400726763,0.034861835264855534,False,False,False
513500.SH,2023-05-31,2023-06-21,1.4097962181687353,1.4829850885868072,2023-05-05,2023-07-03,18,-6,15,0.06319475454842771,0.07958862108051301,-0.025633947266414214,0.8009445378723699,False,0.06611154265484376,0.06611154265484376,0.026308333705282738,False,False,False
159985.SZ,2023-07-06,2023-09-26,2.0124119904518127,2.2732688228607176,2023-06-07,2023-08-29,19,20,58,0.1453682557801239,0.17868507555782354,-0.041623590654192744,0.8394615371911649,False,0.08625873781843585,0.06986050896312235,0.006480220817996818,False,False,False
513200.SH,2023-11-07,2023-11-29,0.9305055732250214,0.887596985733509,2023-10-23,2023-11-08,11,15,16,0.1602314080661138,-0.008066147453063666,-0.03835643897433538,0.7074132669110943,True,-0.008066147453063666,-0.1391776448257529,-0.01644548169825022,True,False,True
513310.SH,2023-11-28,2023-12-13,1.2303128980875013,1.2117195332884787,2023-10-31,2023-11-30,20,9,11,0.06797999223069962,0.009499279181907738,-0.024380395245027553,0.6635506747905554,True,0.009499279181907738,-0.01569757778675518,0.020863289377551775,True,False,True
159941.SZ,2023-12-07,2024-01-05,0.8633247014343738,0.8856024114131927,2023-11-10,2024-01-19,19,-10,20,0.02532623944389001,0.08765567454552481,-0.05686645205609375,0.44950930410042905,False,0.06333107498099877,0.025106763414588507,0.060295227733194734,False,True,True
518880.SH,2024-01-05,2024-01-16,4.664590719795227,4.668390986633301,2023-12-13,2024-01-16,16,0,7,0.02993837937056454,0.0026603247158378807,-0.0018407224842430514,0.9418307759223441,True,0.00308905580107921,0.00308905580107921,-0.004582124917671071,True,False,True
159941.SZ,2024-01-16,2024-01-29,0.9214813296437263,0.9474349881112575,2024-01-05,2024-02-08,7,-8,9,0.041221852625527244,0.07218664545628584,-0.04105768073736493,0.606165112701982,False,0.07218664545628584,0.0504824825143777,0.042815589543420796,False,False,False
513500.SH,2024-01-29,2024-01-30,1.6584658439874649,1.6694802247285843,2024-01-05,2024-02-08,16,-7,1,0.048334908970672164,0.052177234215961876,-0.04327781079279236,0.5366884307741369,False,0.08172262700965427,0.07870779541106865,0.04523550439303037,False,False,False
512800.SH,2024-01-30,2024-03-05,0.5616731894969941,0.5743099880933762,2024-01-02,2024-02-23,20,7,19,0.07806748499301563,0.0593349295220611,-0.034773175667201284,0.7204048614836409,False,0.0593349295220611,0.03618977734605289,0.01687242695486524,False,False,False
515050.SH,2024-03-05,2024-03-28,0.31237440644502634,0.29764240785837176,2024-02-05,2024-03-19,15,7,17,0.31249747583100573,0.053223277570924266,-0.09531181972801417,0.6554110820765874,False,0.053223277570924266,-0.01080248867684852,0.058316924266053505,False,True,True
512400.SH,2024-03-27,2024-04-17,0.9851808272123338,1.0527352200031281,2024-02-28,2024-04-12,20,3,13,0.11068861353081849,0.12162152221353395,-0.047298459880734556,0.7602532095051366,False,0.12162152221353395,0.07594455099061892,0.03824782679560035,False,False,False
512800.SH,2024-04-17,2024-04-25,0.5917092205286026,0.5982811771392822,2024-03-19,2024-05-13,19,-9,6,0.039910746183102974,0.049501968786287875,-0.03658424323840015,0.5630996000756509,True,0.07316223650525577,0.06809224389383406,0.03797347404963913,False,False,False
513530.SH,2024-04-25,2024-06-14,1.0207486066937446,1.1578653133153916,2024-03-27,2024-05-28,19,12,32,0.06661294501997905,0.22851007611301566,-0.07666239165405653,0.6763142848083183,False,0.22851007611301566,0.22851007611301566,0.06748162123170198,False,True,True
159941.SZ,2024-06-12,2024-07-23,1.0648674363374708,1.1129868561148646,2024-05-14,2024-07-11,20,8,29,0.06486743633747083,0.09403285526314376,-0.04464644415561303,0.6847689832528995,False,0.08933743960762763,0.08088573620671435,-0.010770032625630033,False,False,False
513500.SH,2024-07-23,2024-07-26,1.984343272268772,1.8958673228263854,2024-06-25,2024-07-23,20,3,3,0.04055759246612256,-0.0006769152460778249,-0.04393984642862092,-0.14648169716172496,True,-0.0006769152460778249,-0.00924402124660939,0.04015717720222001,True,False,True
