symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
159941.SZ,2020-06-08,2020-06-10,2020-06-23,2020-06-30,3,4,176300.0,0.5467348224771611,0.5507816950111448,96418.26600748432,97069.15745934466,62.572175880988,650.8914518603415,0.006750706881721191,14,胜
159985.SZ,2020-11-03,2020-11-06,2020-11-10,2020-11-13,4,4,86600.0,1.1252170164829038,1.1575734670735396,97474.27484851316,100215.78848989397,60.554979768250945,2741.513641380807,0.028125509480747102,8,胜
513500.SH,2021-03-25,2021-03-29,2021-03-31,2021-04-02,3,3,83500.0,1.205300621624093,1.2354265728983052,100672.79468618344,103127.17140135737,61.140216222786066,2454.3767151739303,0.024379741546111777,6,胜
159941.SZ,2021-04-09,2021-04-15,2021-04-23,2021-04-29,5,5,146600.0,0.7037661340882191,0.6987889131170381,103205.62082540063,102410.87722677553,65.08300424997609,-794.7435986251076,-0.00770058444752364,14,负
512760.SH,2021-06-08,2021-06-08,2021-08-19,2021-08-19,1,1,159300.0,0.6437716066837311,0.7550927823781968,102583.58278980177,120250.1943487769,66.85172915326953,17666.611558975128,0.17221675319309893,51,胜
159865.SZ,2021-10-28,2021-10-28,2021-10-29,2021-10-29,1,1,125500.0,0.8039635732650757,0.7910495957136154,100927.69767330044,99246.94124478012,60.052245812047715,-1680.7564285203262,-0.01665307410420558,1,负
512980.SH,2021-11-11,2021-11-16,2021-11-17,2021-11-17,4,1,110900.0,0.7578993730882356,0.7870543876171112,84076.25578762799,87258.14628726161,51.400611618666886,3181.8904996336205,0.03784529258380509,4,胜
510630.SH,2021-10-29,2021-11-05,2021-11-11,2021-11-18,6,6,84900.0,1.398586791524449,1.3956212138149569,118777.23794767365,118451.87428901395,73.58611112379837,-325.36365865969856,-0.0027392761801974252,14,负
159865.SZ,2021-11-17,2021-11-18,2021-11-25,2021-11-26,2,2,141000.0,0.8627645499139138,0.8229304318630443,121686.2964783232,115998.38093542143,71.30489772916532,-5687.91554290177,-0.04674244929391036,7,负
512690.SH,2021-11-25,2021-11-26,2021-12-28,2021-12-28,2,1,121200.0,0.956790322559541,1.0097868371486665,115997.77599034463,122349.44881301966,71.50474552699042,6351.672822675027,0.05475685002101871,23,胜
512200.SH,2022-01-25,2022-01-25,2022-02-07,2022-02-07,1,1,52600.0,2.3287911751747137,2.203352889537811,122531.1641389342,115861.59308109197,71.51723334116363,-6669.5710578422295,-0.05443163055465472,4,负
159981.SZ,2022-02-15,2022-02-17,2022-04-06,2022-04-07,3,2,71300.0,1.6238705700028995,1.6953068325146385,115816.7062326991,120839.11454514625,70.99720463985012,5022.408312447151,0.043365145459724364,35,胜
510880.SH,2022-04-13,2022-04-13,2022-04-22,2022-04-22,1,1,49300.0,2.4499364267349244,2.3292016171455385,120818.10039778319,114795.19083335747,70.68345166899203,-6022.909564425718,-0.049851053315652316,7,负
518880.SH,2022-05-09,2022-05-09,2022-05-16,2022-05-16,1,1,29100.0,3.9467303121566775,3.8723476933479315,114884.30703938444,112651.51228106188,68.26055098805523,-2232.7947583225614,-0.019435158864274826,5,负
159981.SZ,2022-05-30,2022-06-06,2022-06-07,2022-06-14,5,6,65000.0,1.7348685853187122,1.8464385264866168,112800.28798313001,119978.69974735721,73.63441168660117,7178.411764227203,0.06363823969404026,10,胜
159755.SZ,2022-06-07,2022-06-14,2022-07-29,2022-07-29,6,1,107000.0,1.1205879349125656,1.2055516171455383,119942.6932461276,128955.32482766223,78.48241739344788,9012.631581534632,0.0751411473064083,38,胜
159941.SZ,2022-08-17,2022-08-17,2022-08-30,2022-08-30,1,1,180500.0,0.7149250995218753,0.6612098876357079,129082.6936578376,119312.5802028298,74.51770955458312,-9770.113455007799,-0.07568879435461473,9,负
159865.SZ,2022-09-01,2022-09-01,2022-09-16,2022-09-16,1,1,136100.0,0.8760500000000001,0.8439860285758972,119266.17412150001,114832.03853963285,70.22907104675389,-4434.135581867158,-0.03717848429807069,10,负
518880.SH,2022-10-11,2022-10-11,2022-10-12,2022-10-12,1,1,30100.0,3.808564700698853,3.797437645721436,114672.18883028277,114268.58227427435,68.6822011881752,-403.6065560084244,-0.003519655115380882,1,负
159985.SZ,2022-10-12,2022-10-17,2022-11-30,2022-12-05,4,4,64400.0,1.7786628979329,1.8527274737654265,114583.52912626807,119279.85461570031,73.43319418245983,4696.325489432245,0.04098604332789413,38,胜
513200.SH,2022-11-30,2022-12-05,2023-02-01,2023-02-02,4,2,121700.0,0.9796090506134704,1.0813084148496415,119254.18698609724,131555.7555169752,75.24409666405819,12301.56853087795,0.10315418554077338,40,胜
512690.SH,2023-02-09,2023-02-09,2023-03-09,2023-03-09,1,1,149200.0,0.8820571823358536,0.9059116052389147,131642.41248399072,135121.46289819558,80.02948293184662,3479.0504142048594,0.026428035984435994,20,胜
510880.SH,2023-05-04,2023-05-04,2023-05-25,2023-05-25,1,1,51200.0,2.6391631178855897,2.5549304876327517,135165.6891812329,130773.19723450685,79.78127778076171,-4392.491946726062,-0.03249709281500068,15,负
513500.SH,2023-05-31,2023-05-31,2023-06-21,2023-06-21,1,1,92900.0,1.4097962181687353,1.4829850885868072,131009.35968847587,137727.9839352955,80.62181501927697,6718.624246819614,0.05128354388415968,15,胜
159985.SZ,2023-07-06,2023-07-10,2023-09-26,2023-09-26,3,1,68600.0,2.007975167400566,2.2732688228607176,137788.42061262392,155899.45737587076,88.1080013195772,18111.03676324684,0.1314409199461246,58,胜
513200.SH,2023-11-07,2023-11-08,2023-11-28,2023-11-29,2,2,168500.0,0.9264067142985057,0.8770173411163626,156146.361218706,147729.68642608798,94.56541142690128,-8416.674792618025,-0.05390247154609795,16,负
513310.SH,2023-11-28,2023-12-04,2023-12-05,2023-12-13,5,7,119400.0,1.236542406567377,1.191721717393398,147687.45629314805,142246.03032842863,89.83567734635434,-5441.425964719412,-0.036844198561579944,11,负
159941.SZ,2023-12-07,2023-12-13,2024-01-05,2024-01-05,5,1,162800.0,0.873801306694746,0.8856024114131927,142300.36816667902,144132.81975629437,88.76825854780172,1832.4515896153462,0.012877349603684474,20,胜
518880.SH,2024-01-05,2024-01-05,2024-01-23,2024-01-23,1,1,30800.0,4.664590719795227,4.617452544784546,143712.4949879439,142174.8731178502,85.76607976471709,-1537.621870093717,-0.010699291458426852,12,负
