datetime,primary,formal_f,different
2020-02-24,518880.SH,CASH,True
2020-02-25,518880.SH,CASH,True
2020-02-26,518880.SH,CASH,True
2020-02-27,518880.SH,CASH,True
2020-02-28,518880.SH,CASH,True
2020-03-02,518880.SH,CASH,True
2020-03-03,518880.SH,CASH,True
2020-03-04,518880.SH,CASH,True
2020-03-05,518880.SH,CASH,True
2020-03-06,518880.SH,CASH,True
2020-03-09,518880.SH,CASH,True
2020-03-10,518880.SH,CASH,True
2020-03-11,518880.SH,CASH,True
2020-04-14,512010.SH,CASH,True
2020-04-15,512010.SH,CASH,True
2020-04-16,512010.SH,CASH,True
2020-04-17,512010.SH,CASH,True
2020-04-20,512010.SH,CASH,True
2020-04-21,512010.SH,CASH,True
2020-04-22,512010.SH,CASH,True
2020-04-23,512010.SH,CASH,True
2020-04-24,512010.SH,CASH,True
2020-04-27,512010.SH,CASH,True
2020-04-28,512010.SH,CASH,True
2020-04-29,512010.SH,CASH,True
2020-04-30,512010.SH,CASH,True
2020-05-06,512010.SH,CASH,True
2020-05-07,512010.SH,CASH,True
2020-05-08,512010.SH,CASH,True
2020-05-11,512010.SH,CASH,True
2020-05-12,512010.SH,CASH,True
2020-05-13,512010.SH,CASH,True
2020-06-03,513030.SH,518880.SH,True
2020-06-04,513030.SH,518880.SH,True
2020-06-05,513030.SH,159941.SZ,True
2020-06-08,513030.SH,159941.SZ,True
2020-06-09,513030.SH,159941.SZ,True
2020-06-10,513030.SH,159941.SZ,True
2020-06-11,513030.SH,159941.SZ,True
2020-06-12,513030.SH,159941.SZ,True
2020-06-15,CASH,159941.SZ,True
2020-06-16,512980.SH,159941.SZ,True
2020-06-17,512980.SH,159941.SZ,True
2020-06-18,512980.SH,159941.SZ,True
2020-06-19,512980.SH,159941.SZ,True
2020-06-22,512980.SH,CASH,True
2020-06-23,512980.SH,CASH,True
2020-06-24,512980.SH,CASH,True
2020-06-29,512980.SH,CASH,True
2020-06-30,512980.SH,CASH,True
