variant,date,baseline,alternative
no_dde,2025-06-24,512800.SH,159869.SZ
no_dde,2025-06-25,512800.SH,159869.SZ
no_dde,2025-06-26,512800.SH,159869.SZ
no_dde,2025-06-27,512800.SH,159869.SZ
no_dde,2025-06-30,512800.SH,159869.SZ
no_dde,2025-07-01,cash,159869.SZ
no_dde,2025-07-02,cash,159869.SZ
no_dde,2025-07-03,cash,159869.SZ
no_dde,2025-07-04,515050.SH,159869.SZ
no_dde,2025-07-07,515050.SH,159869.SZ
no_dde,2025-07-08,515050.SH,159869.SZ
no_dde,2025-07-09,515050.SH,159869.SZ
no_dde,2025-07-10,515050.SH,159869.SZ
no_dde,2025-07-11,515050.SH,159869.SZ
no_dde,2025-07-14,515050.SH,159869.SZ
no_dde,2025-10-17,515050.SH,cash
no_dde,2025-10-20,515050.SH,cash
no_dde,2025-10-21,515050.SH,cash
no_dde,2025-10-22,515050.SH,cash
no_dde,2025-10-23,515050.SH,cash
no_dde,2025-10-24,515050.SH,cash
no_dde,2025-10-27,515050.SH,cash
no_dde,2025-10-28,515050.SH,cash
no_dde,2025-10-29,515050.SH,cash
no_dde,2025-10-30,515050.SH,cash
no_dde,2025-10-31,515050.SH,cash
no_dde,2025-11-03,515050.SH,cash
no_dde,2026-04-08,515050.SH,cash
no_dde,2026-04-09,515050.SH,cash
no_dde,2026-04-10,515050.SH,cash
no_dde,2026-04-13,515050.SH,159915.SZ
no_dde,2026-04-14,515050.SH,159915.SZ
no_dde,2026-04-15,515050.SH,159915.SZ
no_dde,2026-04-16,515050.SH,159915.SZ
no_dde,2026-04-17,515050.SH,159915.SZ
no_dde,2026-04-20,515050.SH,159915.SZ
no_dde,2026-04-21,515050.SH,159915.SZ
no_dde,2026-04-22,515050.SH,159915.SZ
no_dde,2026-04-23,515050.SH,159915.SZ
no_dde,2026-04-24,515050.SH,159915.SZ
no_dde,2026-04-27,515050.SH,159915.SZ
no_dde,2026-04-28,515050.SH,159915.SZ
no_dde,2026-04-29,515050.SH,159915.SZ
no_dde,2026-04-30,515050.SH,159915.SZ
no_dde,2026-05-06,515050.SH,159915.SZ
no_dde,2026-05-07,515050.SH,159915.SZ
no_dde,2026-05-08,515050.SH,159915.SZ
no_dde,2026-05-11,515050.SH,159915.SZ
no_dde,2026-05-12,515050.SH,159915.SZ
no_dde,2026-05-13,515050.SH,159915.SZ
no_dde,2026-05-14,515050.SH,159915.SZ
no_dde,2026-05-15,515050.SH,159915.SZ
no_dde,2026-05-18,515050.SH,159915.SZ
no_dde,2026-05-19,515050.SH,cash
no_dde,2026-05-20,515050.SH,cash
no_dde,2026-05-21,515050.SH,cash
no_dde,2026-05-22,515050.SH,cash
no_dde,2026-05-25,515050.SH,cash
no_dde,2026-05-26,515050.SH,cash
no_dde,2026-05-27,515050.SH,cash
no_dde,2026-05-28,515050.SH,cash
no_dde,2026-05-29,515050.SH,cash
no_dde,2026-06-01,515050.SH,cash
no_dde,2026-06-02,515050.SH,cash
no_dde,2026-06-03,515050.SH,cash
no_dde,2026-06-04,515050.SH,cash
no_dde,2026-06-05,515050.SH,cash
no_dde,2026-06-08,515050.SH,cash
no_dde,2026-06-09,515050.SH,cash
no_dde,2026-06-10,515050.SH,cash
no_dde,2026-06-11,515050.SH,cash
no_dde,2026-06-12,515050.SH,cash
no_dde,2026-06-15,515050.SH,cash
no_dde,2026-06-16,515050.SH,cash
no_dde,2026-06-17,515050.SH,cash
no_dde,2026-06-18,515050.SH,cash
no_dde,2026-06-22,515050.SH,cash
no_dde,2026-06-23,515050.SH,cash
no_dde,2026-06-24,515050.SH,cash
no_dde,2026-06-25,515050.SH,cash
no_dde,2026-06-26,515050.SH,cash
no_dde,2026-06-29,515050.SH,cash
no_dde,2026-07-13,512010.SH,cash
no_dde,2026-07-17,cash,512010.SH
no_dde,2026-07-20,159985.SZ,512010.SH
no_dde,2026-07-21,159985.SZ,512010.SH
no_dde,2026-07-22,159985.SZ,512010.SH
no_dde,2026-07-23,159985.SZ,512010.SH
no_dde,2026-07-24,159985.SZ,512010.SH
no_dde,2026-07-27,159985.SZ,512010.SH
no_dde,2026-07-28,159985.SZ,512010.SH
no_dde,2026-07-29,159985.SZ,512010.SH
no_dde,2026-07-30,159985.SZ,512800.SH
no_dde,2026-07-31,159985.SZ|512800.SH,512800.SH
specific_mapping,2024-01-15,518880.SH,159941.SZ
specific_mapping,2024-07-31,512800.SH,512760.SH
specific_mapping,2024-08-01,512800.SH,512760.SH
specific_mapping,2024-08-02,512800.SH,512760.SH
specific_mapping,2024-08-05,512800.SH,512760.SH
specific_mapping,2024-08-06,512800.SH,cash
specific_mapping,2024-08-07,512800.SH,cash
specific_mapping,2024-09-25,518880.SH,159851.SZ
specific_mapping,2024-11-19,159851.SZ,cash
specific_mapping,2024-11-20,159851.SZ,cash
specific_mapping,2024-11-21,159851.SZ,cash
specific_mapping,2024-11-22,159851.SZ,cash
specific_mapping,2024-11-25,159851.SZ,cash
specific_mapping,2024-11-26,159851.SZ,cash
specific_mapping,2024-11-27,159851.SZ,cash
specific_mapping,2024-11-28,159851.SZ,cash
specific_mapping,2024-11-29,159851.SZ,cash
specific_mapping,2024-12-02,159851.SZ,cash
