date,regime,rows,dde_present
2024-11-29,keyword_proxy,138,138
2024-12-02,keyword_proxy,181,181
2024-12-03,keyword_proxy,131,131
2024-12-04,keyword_proxy,96,96
2024-12-05,keyword_proxy,140,140
2024-12-06,keyword_proxy,133,133
2024-12-09,keyword_proxy,118,118
2024-12-10,keyword_proxy,116,116
2024-12-11,keyword_proxy,156,156
2024-12-12,keyword_proxy,155,155
2024-12-13,keyword_proxy,99,99
2024-12-16,keyword_proxy,115,115
2024-12-17,keyword_proxy,31,31
2024-12-18,keyword_proxy,108,108
2024-12-19,keyword_proxy,80,80
2024-12-20,keyword_proxy,97,97
2024-12-23,keyword_proxy,32,32
2024-12-24,keyword_proxy,83,83
2024-12-25,keyword_proxy,46,46
2024-12-26,keyword_proxy,106,106
2024-12-27,keyword_proxy,79,79
2024-12-30,keyword_proxy,54,54
2024-12-31,keyword_proxy,56,56
2025-01-02,keyword_proxy,67,67
2025-01-03,keyword_proxy,53,53
2025-01-06,keyword_proxy,67,67
2025-01-07,keyword_proxy,104,104
2025-01-08,keyword_proxy,72,72
2025-01-09,keyword_proxy,96,96
2025-01-10,keyword_proxy,44,44
2025-01-13,keyword_proxy,52,52
2025-01-14,keyword_proxy,153,153
2025-01-15,keyword_proxy,81,81
2025-01-16,keyword_proxy,84,84
2025-01-17,keyword_proxy,65,65
2025-01-20,keyword_proxy,80,80
2025-01-21,keyword_proxy,52,52
2025-01-22,keyword_proxy,48,48
2025-01-23,keyword_proxy,46,46
2025-01-24,keyword_proxy,73,73
2025-01-27,keyword_proxy,45,45
2025-02-05,keyword_proxy,82,82
2025-02-06,keyword_proxy,99,99
2025-02-07,keyword_proxy,89,89
2025-02-10,keyword_proxy,135,135
2025-02-11,keyword_proxy,80,80
2025-02-12,keyword_proxy,93,93
2025-02-13,keyword_proxy,74,74
2025-02-14,keyword_proxy,84,84
2025-02-17,keyword_proxy,112,112
2025-02-18,keyword_proxy,52,52
2025-02-19,keyword_proxy,118,118
2025-02-20,keyword_proxy,103,103
2025-02-21,keyword_proxy,117,117
2025-02-24,keyword_proxy,90,90
2025-02-25,keyword_proxy,64,64
2025-02-26,keyword_proxy,105,105
2025-02-27,keyword_proxy,87,87
2025-02-28,keyword_proxy,52,52
2025-03-03,keyword_proxy,66,66
2025-03-04,keyword_proxy,83,83
2025-03-05,keyword_proxy,69,69
2025-03-06,keyword_proxy,115,115
2025-03-07,keyword_proxy,58,58
2025-03-10,keyword_proxy,91,91
2025-03-11,keyword_proxy,65,65
2025-03-12,keyword_proxy,92,92
2025-03-13,keyword_proxy,53,53
2025-03-14,keyword_proxy,90,90
2025-03-17,keyword_proxy,80,80
2025-03-18,keyword_proxy,77,77
2025-03-19,keyword_proxy,56,56
2025-03-20,keyword_proxy,73,73
2025-03-21,keyword_proxy,56,56
2025-03-24,keyword_proxy,53,53
2025-03-25,keyword_proxy,56,56
2025-03-26,keyword_proxy,90,90
2025-03-27,keyword_proxy,54,54
2025-03-28,keyword_proxy,35,35
2025-03-31,keyword_proxy,41,41
2025-04-01,keyword_proxy,64,64
2025-04-02,keyword_proxy,48,48
2025-04-03,keyword_proxy,57,57
2025-04-07,keyword_proxy,23,23
2025-04-08,keyword_proxy,120,120
2025-04-09,keyword_proxy,115,115
2025-04-10,keyword_proxy,169,169
2025-04-11,keyword_proxy,103,103
2025-04-14,keyword_proxy,128,128
2025-04-15,keyword_proxy,80,80
2025-04-16,keyword_proxy,54,54
2025-04-17,keyword_proxy,99,99
2025-04-18,keyword_proxy,65,65
2025-04-21,keyword_proxy,114,114
2025-04-22,keyword_proxy,92,92
2025-04-23,keyword_proxy,72,72
2025-04-24,keyword_proxy,64,64
2025-04-25,keyword_proxy,76,76
2025-04-28,keyword_proxy,48,48
2025-04-29,keyword_proxy,73,73
2025-04-30,keyword_proxy,97,97
2025-05-06,keyword_proxy,141,141
2025-05-07,keyword_proxy,98,98
2025-05-08,keyword_proxy,103,103
2025-05-09,keyword_proxy,58,58
2025-05-12,keyword_proxy,88,88
2025-05-13,keyword_proxy,70,70
2025-05-14,keyword_proxy,88,88
2025-05-15,keyword_proxy,75,75
2025-05-16,keyword_proxy,68,68
2025-05-19,keyword_proxy,120,120
2025-05-20,keyword_proxy,99,99
2025-05-21,keyword_proxy,83,83
2025-05-22,keyword_proxy,50,50
2025-05-23,keyword_proxy,51,51
2025-05-26,keyword_proxy,84,84
2025-05-27,keyword_proxy,95,95
2025-05-28,keyword_proxy,75,75
2025-05-29,keyword_proxy,118,118
2025-05-30,keyword_proxy,52,52
2025-06-03,keyword_proxy,81,81
2025-06-04,keyword_proxy,86,86
2025-06-05,keyword_proxy,75,75
2025-06-06,keyword_proxy,65,65
2025-06-09,keyword_proxy,86,86
2025-06-10,keyword_proxy,59,59
2025-06-11,keyword_proxy,70,70
2025-06-12,keyword_proxy,73,73
2025-06-13,keyword_proxy,62,62
2025-06-16,keyword_proxy,73,73
2025-06-17,keyword_proxy,60,60
2025-06-18,keyword_proxy,49,49
2025-06-19,keyword_proxy,39,39
2025-06-20,keyword_proxy,52,52
2025-06-23,keyword_proxy,83,83
2025-06-24,keyword_proxy,84,84
2025-06-25,keyword_proxy,77,77
2025-06-26,keyword_proxy,70,70
2025-06-27,keyword_proxy,60,60
2025-06-30,keyword_proxy,92,92
2025-07-01,keyword_proxy,71,71
2025-07-02,keyword_proxy,62,62
2025-07-03,keyword_proxy,65,65
2025-07-04,keyword_proxy,40,40
2025-07-07,keyword_proxy,76,76
2025-07-08,keyword_proxy,75,75
2025-07-09,keyword_proxy,60,60
2025-07-10,keyword_proxy,66,66
2025-07-11,keyword_proxy,66,66
2025-07-14,keyword_proxy,71,71
2025-07-15,keyword_proxy,48,48
2025-07-16,keyword_proxy,66,66
2025-07-17,keyword_proxy,66,66
2025-07-18,keyword_proxy,51,51
2025-07-21,keyword_proxy,125,125
2025-07-22,keyword_proxy,106,106
2025-07-23,keyword_proxy,55,55
2025-07-24,keyword_proxy,78,78
2025-07-25,keyword_proxy,48,48
2025-07-28,keyword_proxy,62,62
2025-07-29,keyword_proxy,48,48
2025-07-30,keyword_proxy,55,55
2025-07-31,keyword_proxy,49,49
2025-08-01,keyword_proxy,49,49
2025-08-04,keyword_proxy,69,69
2025-08-05,keyword_proxy,68,68
2025-08-06,keyword_proxy,76,76
2025-08-07,keyword_proxy,73,73
2025-08-08,keyword_proxy,72,72
2025-08-11,keyword_proxy,84,84
2025-08-12,keyword_proxy,60,60
2025-08-13,keyword_proxy,100,100
2025-08-14,keyword_proxy,52,52
2025-08-15,keyword_proxy,103,103
2025-08-18,keyword_proxy,117,117
2025-08-19,keyword_proxy,104,104
2025-08-20,keyword_proxy,101,101
2025-08-21,keyword_proxy,56,56
2025-08-22,keyword_proxy,79,79
2025-08-25,keyword_proxy,91,91
2025-08-26,keyword_proxy,90,90
2025-08-27,keyword_proxy,46,46
2025-08-28,keyword_proxy,65,65
2025-08-29,keyword_proxy,75,75
2025-09-01,keyword_proxy,120,120
2025-09-02,keyword_proxy,52,52
2025-09-03,keyword_proxy,38,38
2025-09-04,keyword_proxy,39,39
2025-09-05,keyword_proxy,102,102
2025-09-08,keyword_proxy,85,85
2025-09-09,keyword_proxy,63,63
2025-09-10,keyword_proxy,63,63
2025-09-11,keyword_proxy,94,94
