date,baseline,rank_2d,gap5_2d,combined5_1d,combined5_2d,combined5_3d,combined8_2d,combined10_2d,combined5_roc3_2d
2024-10-28,171488.79307373997,214332.7559826202,185831.7936164022,217890.49715323592,214332.7559826202,173816.19433083525,214332.7559826202,214332.7559826202,210422.6189921878
2024-10-29,171494.11047100025,213090.35346482464,184754.591433394,216627.69459409858,213090.35346482464,173821.57391987633,213090.35346482464,213090.35346482464,209203.01652059777
2024-10-30,171499.42786826054,217749.349021656,188794.0875810266,221363.19007797385,217749.349021656,173826.95350891742,217749.349021656,217749.349021656,213776.51215896828
2024-10-31,171504.74526552082,225203.76412842938,195257.30067907576,228940.00543279792,225203.76412842938,173832.3330979585,225203.76412842938,225203.76412842938,221094.12698850853
2024-11-01,171510.0626627811,208741.9539091415,180984.39181863074,212207.89504571105,208741.9539091415,173837.71268699958,208741.9539091415,208741.9539091415,204934.41695676072
2024-11-04,171529.43485456193,217128.15701935955,188255.49451528792,220731.79820699836,217128.15701935955,173857.3114541229,217128.15701935955,217128.15701935955,213166.72000990136
2024-11-05,171534.7522518222,238870.15479777523,207106.49258910422,242830.795948936,238870.15479777523,173862.69104316397,238870.15479777523,238870.15479777523,234509.7178290866
2024-11-06,171540.0696490825,236074.75376103588,204682.7916902185,239989.49489517356,236074.75376103588,173868.07063220505,236074.75376103588,236074.75376103588,231765.61681137307
2024-11-07,171545.38704634277,255021.35050271222,221110.08886514907,259247.19158334876,255021.35050271222,173873.45022124614,255021.35050271222,255021.35050271222,250364.51361284478
2024-11-08,171550.70444360306,248498.76042578885,215454.7974687696,252617.50166936064,248498.76042578885,173878.82981028722,248498.76042578885,248498.76042578885,243961.6233538173
2024-11-11,171570.07663538388,255642.56101821133,221648.69798241858,259878.6022715106,255642.56101821133,173898.42857741052,255642.56101821133,255642.56101821133,250974.3239353679
2024-11-12,171575.39403264417,255331.9650170631,221379.40144954924,259562.90633602286,255331.9650170631,173903.8081664516,255331.9650170631,255331.9650170631,250669.42786083443
2024-11-13,171580.71142990445,253157.7559826202,219494.2936164022,257352.99715323592,253157.7559826202,173909.1877554927,253157.7559826202,253157.7559826202,248535.1189921878
2024-11-14,171586.02882716473,246635.16590569683,213839.00222002272,250723.3072392478,246635.16590569683,173914.56734453377,246635.16590569683,246635.16590569683,242132.22873316033
2024-11-15,171591.346224425,234211.15924094387,203066.99644147162,238095.30046506072,234211.15924094387,173919.94693357486,234211.15924094387,234211.15924094387,229936.2221907161
2024-11-18,171610.71841620584,222408.36309169003,192833.59978019004,226098.70437903548,222408.36309169003,173939.54570069816,222408.36309169003,222408.36309169003,218350.025970795
2024-11-19,171616.03581346612,232658.1607220001,201720.4977255941,236516.80197043563,232658.1607220001,173944.92528973924,232658.1607220001,232658.1607220001,228411.7236445926
2024-11-20,171621.3532107264,234832.35124324032,203605.5895072103,238726.6923360362,234832.35124324032,173950.30487878033,234832.35124324032,234832.35124324032,230546.01433978303
2024-11-21,171626.67060798669,238559.558796627,206837.19605623488,242515.10001344825,238559.558796627,173955.6844678214,238559.558796627,238559.558796627,234204.82175455315
2024-11-22,171631.98800524697,228930.9531686134,198488.8911765695,232728.3942930236,228930.9531686134,173961.0640568625,228930.9531686134,228930.9531686134,224752.91622982247
2024-11-25,171651.3601970278,226756.76264737317,196603.7993949533,230518.503927423,226756.76264737317,173980.6628239858,226756.76264737317,226756.76264737317,222618.62553463204
2024-11-26,171656.67759428808,223961.36161063382,194180.09849606757,227677.20287366057,223961.36161063382,173986.04241302688,223961.36161063382,223961.36161063382,219874.5245169185
2024-11-27,171661.99499154836,234521.7552420921,203336.29297434096,238410.99640054847,234521.7552420921,173991.42200206796,234521.7552420921,234521.7552420921,230241.11826524956
2024-11-28,171667.31238880864,232968.7567231483,201989.79425846343,236832.49790592337,232968.7567231483,173996.80159110905,232968.7567231483,232968.7567231483,228716.61971912606
2024-11-29,171672.62978606892,248498.76042578885,215454.7974687696,252617.50166936064,248498.76042578885,174002.18118015013,248498.76042578885,248498.76042578885,243961.6233538173
