symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
513500.SH,2019-07-24,2019-07-24,2019-07-31,2019-08-01,1,2,115000.0,0.970613594740629,0.970121430963511,111654.0495641909,111530.49537143552,66.95535838679282,-123.55419275537133,-0.0011065804889086595,6,负
518880.SH,2019-07-31,2019-08-01,2019-08-02,2019-08-02,2,1,35300.0,3.1564545873625756,3.1831756361961365,111456.2737879791,112332.3901277363,67.13668406748675,876.1163397572091,0.00786062829826717,2,胜
159941.SZ,2019-08-02,2019-08-06,2019-08-07,2019-08-09,3,3,2500.0,0.42779192475831507,0.4265651555529832,1084.4798118957876,1051.412888882458,30.0,-33.06692301332964,-0.030491045246407222,5,负
518880.SH,2019-08-07,2019-08-09,2019-09-03,2019-09-03,3,1,33500.0,3.3502990785519047,3.505787990474701,112278.48578289803,117408.66451159822,78.69982071349335,5130.1787287001935,0.04569155607085684,19,胜
512660.SH,2019-09-03,2019-09-04,2019-09-26,2019-09-26,2,1,137600.0,0.8536517749026765,0.7970423780918121,117500.86800855376,109640.12931606571,71.2856913131101,-7860.738692488056,-0.06689940955938989,16,负
513500.SH,2019-10-09,2019-10-09,2019-10-10,2019-10-10,1,1,68000.0,0.9635947253406048,0.9613971866846084,65544.09865555807,65355.396191945,39.26983500531435,-188.70246361307363,-0.002879015311580191,1,负
512980.SH,2019-09-26,2019-10-08,2019-10-09,2019-10-16,4,6,77000.0,0.7611122568593707,0.7464447423979215,58625.64377817154,57446.24516463996,50.0,-1179.3986135315863,-0.020117452662766655,9,负
513500.SH,2019-10-23,2019-10-23,2019-10-24,2019-10-24,1,1,51900.0,0.9926730095624924,0.9863297223508357,51535.18511505224,51175.15543623137,30.813072535890512,-360.0296788208725,-0.00698609460734656,1,负
512200.SH,2019-10-11,2019-10-18,2019-10-21,2019-10-28,6,6,4100.0,2.4406081621774813,2.4117609271514704,10036.493464927673,9858.219801321029,60.0,-178.27366360664382,-0.017762544680531844,11,负
513500.SH,2019-12-12,2019-12-16,2019-12-17,2019-12-18,3,2,96900.0,1.043990735477412,1.046665824021422,101193.05107844155,101391.49177217149,60.7753861846311,198.44069372993545,0.001961011073538188,4,胜
159941.SZ,2019-10-29,2019-12-18,2019-12-12,2019-12-27,34,10,25400.0,0.47134400483951794,0.47946964069583753,12142.137722923755,12128.528873674273,220.0,-13.608849249481864,-0.001120795164741839,43,负
512980.SH,2019-12-19,2019-12-27,2020-01-17,2020-01-21,7,3,130200.0,0.8290612682810212,0.911003017372415,107984.1077832971,118576.20362443924,76.71989055733467,10592.09584114213,0.09808939536175432,22,胜
512400.SH,2020-01-17,2020-01-21,2020-02-04,2020-02-05,3,2,162100.0,0.7313040415871078,0.6277338012310842,118580.74332681672,101725.1224848049,66.88488030040645,-16855.62084201182,-0.14214467180018064,7,负
159941.SZ,2020-02-04,2020-02-18,2020-02-24,2020-02-27,11,4,181800.0,0.5591359618687163,0.5175520919419981,101705.91786773263,94062.74302396073,83.22729109451657,-7643.1748437718925,-0.07514975533392021,17,负
512880.SH,2020-02-24,2020-02-27,2020-03-02,2020-03-02,4,1,89100.0,1.055272656985753,0.9997988466739655,94053.0011755518,89055.35261547873,54.93206129282427,-4997.648560073081,-0.0531365134297509,5,负
512980.SH,2020-03-02,2020-03-03,2020-03-05,2020-03-06,2,2,98400.0,0.9045180419602532,0.931344465221719,89033.22867826231,91616.097848238,56.85087895255232,2582.869169975689,0.029010170790383816,4,胜
512660.SH,2020-03-05,2020-03-06,2020-03-17,2020-03-17,2,1,103700.0,0.8831607400891637,0.8000387990474701,91611.94848968579,82939.13425418428,53.06894947789025,-8672.814235501515,-0.09466902929674015,8,负
515880.SH,2020-03-17,2020-03-17,2020-03-19,2020-03-19,1,1,410200.0,0.20224240704178803,0.19077079964280125,82984.723319152,78230.70575887302,48.36420521460555,-4754.017560278982,-0.05728786420116683,2,负
518880.SH,2020-03-31,2020-03-31,2020-04-02,2020-04-02,1,1,21800.0,3.5872995446205147,3.521768822860718,78226.59101174904,76751.52797026213,46.493307123327256,-1475.0630414869083,-0.018856286876483774,2,负
518880.SH,2020-04-08,2020-04-08,2020-04-29,2020-04-29,1,1,21000.0,3.64737148733139,3.724525291442871,76617.77967432939,78191.5666109642,46.442949706277844,1573.7869366348168,0.02054075363870278,15,胜
159941.SZ,2020-04-29,2020-05-06,2020-05-14,2020-05-15,3,2,148800.0,0.5260475489797971,0.50684958872437,78302.40711739568,75396.5930365456,49.157594842517426,-2905.8140808500757,-0.03711015009402585,9,负
