,equity
2019-11-27,107832.64208418486
2019-11-28,107975.86786225316
2019-11-29,107983.48038761255
2019-12-02,108118.48830222902
2019-12-03,107767.88812219378
2019-12-04,107682.27922894235
2019-12-05,107689.437380906
2019-12-06,107667.07080833819
2019-12-09,107708.0962493768
2019-12-10,107665.9470064294
2019-12-11,107658.66766637262
2019-12-12,107740.46321574354
2019-12-13,107715.3865532211
2019-12-16,107853.80625038789
2019-12-17,108237.25379333724
2019-12-18,107971.34922949801
2019-12-19,108000.44913566552
2019-12-20,107438.00356022862
2019-12-23,106213.46360694495
2019-12-24,108375.17490679736
2019-12-25,109116.08393199503
2019-12-26,109257.20356167853
2019-12-27,107554.97279148876
2019-12-30,109117.37595778286
2019-12-31,108726.77322607815
2020-01-02,114976.37813072979
2020-01-03,115366.97310190975
2020-01-06,117840.77229481516
2020-01-07,121486.37968283475
2020-01-08,117970.97837906658
2020-01-09,119793.77819281397
2020-01-10,119272.97713738262
2020-01-13,120965.57862740337
2020-01-14,120574.97589569865
2020-01-15,120054.1748402673
2020-01-16,118752.17608195126
2020-01-17,118212.03577828541
2020-01-20,118832.93411656423
2020-01-21,115744.63415322108
2020-01-22,116555.13338026805
2020-01-23,112988.94064602656
2020-02-03,101317.73631748957
2020-02-04,101850.05388214081
2020-02-05,101929.9979171017
2020-02-06,102212.8169903687
2020-02-07,102753.07203435931
2020-02-10,103340.91939128551
2020-02-11,104231.56350619826
2020-02-12,105383.34666060958
2020-02-13,108737.65978925917
2020-02-14,103162.9308198491
2020-02-17,103831.2252121875
2020-02-18,101468.84604921255
2020-02-19,100378.03842058095
2020-02-20,101650.64370860967
2020-02-21,99469.0392874709
2020-02-24,95761.54421113218
2020-02-25,96648.18280400209
2020-02-26,94015.16502429366
2020-02-27,94034.67810948976
2020-02-28,87975.88176330217
2020-03-02,90458.88376223276
2020-03-03,90485.9096292753
2020-03-04,90387.50503103923
2020-03-05,91123.7179781153
2020-03-06,90383.15523812314
2020-03-09,85820.35835334798
2020-03-10,89864.65573260328
2020-03-11,89864.65573260328
2020-03-12,87479.55553481122
2020-03-13,87479.55553481122
2020-03-16,82501.95780941984
2020-03-17,81234.4665736748
2020-03-18,77952.86603577864
2020-03-19,78245.57277264468
2020-03-20,78245.57277264468
2020-03-23,78245.57277264468
2020-03-24,78245.57277264468
2020-03-25,78245.57277264468
2020-03-26,78245.57277264468
2020-03-27,78245.57277264468
2020-03-30,78245.57277264468
2020-03-31,78193.78101245203
2020-04-01,76929.38429728785
2020-04-02,76770.50973115777
2020-04-03,76770.50973115777
2020-04-07,76770.50973115777
2020-04-08,76613.73073775183
2020-04-09,76802.73205954446
2020-04-10,77243.73013693704
2020-04-13,77222.73165900125
2020-04-14,78104.7278137864
2020-04-15,77894.72801405801
2020-04-16,78482.7304573716
2020-04-17,77201.72817427528
2020-04-20,76823.73053748025
2020-04-21,77516.73037726295
2020-04-22,77306.73057753454
2020-04-23,78671.7317791642
2020-04-24,79301.73117834938
2020-04-27,78713.72873503578
