,mixed_False,mixed_True,uniform_keyword_False,uniform_keyword_True
2018-10-17,97104.47638333612,97104.47638333612,97104.47638333612,97104.47638333612
2018-10-18,97107.49268470598,97107.49268470598,97107.49268470598,97107.49268470598
2018-10-19,97110.50898607585,97110.50898607585,97110.50898607585,97110.50898607585
2018-10-22,97121.49789018543,97121.49789018543,97121.49789018543,97121.49789018543
2018-10-23,97124.5141915553,97124.5141915553,97124.5141915553,97124.5141915553
2018-10-24,97127.53049292516,97127.53049292516,97127.53049292516,97127.53049292516
2018-10-25,97130.54679429502,97130.54679429502,97130.54679429502,97130.54679429502
2018-10-26,97133.56309566488,97133.56309566488,97133.56309566488,97133.56309566488
2018-10-29,97144.55199977447,97144.55199977447,97144.55199977447,97144.55199977447
2018-10-30,97147.56830114433,97147.56830114433,97147.56830114433,97147.56830114433
