date,etfwin 策略,ye 策略
2019-11-06,107768.15204707382,96601.68314897745
2019-11-07,107758.4117585927,97367.38382303446
2019-11-08,107752.79615859238,97013.9813514921
2019-11-11,107746.5015169665,94952.4833174917
2019-11-12,107751.60905844775,95011.37904846399
2019-11-13,107751.81434505788,95541.48275577753
2019-11-14,107763.41550463525,96130.48219406336
2019-11-15,107764.41646093695,95188.08028423517
2019-11-18,107772.7914393094,94986.71020219811
2019-11-19,107788.63482982187,95180.35282127427
2019-11-20,107774.67677540211,94541.22838138946
2019-11-21,107742.52005075841,93964.31883460117
2019-11-22,107756.1700211337,94005.83893169754
2019-11-25,107770.41514167993,94515.37836648412
2019-11-26,107805.27938122509,95252.97986127326
2019-11-27,107832.64208418486,95529.58179570622
2019-11-28,107975.86786225316,95990.58135606236
2019-11-29,107983.48038761255,96082.78566457219
2019-12-02,108118.48830222902,97189.18241120763
2019-12-03,107767.88812219378,95621.77511311955
2019-12-04,107682.27922894235,94515.37836648412
2019-12-05,107689.437380906,94607.58267499394
2019-12-06,107667.07080833819,94884.18460942693
2019-12-09,107708.0962493768,95806.18373013921
2019-12-10,107665.9470064294,95437.3774871964
2019-12-11,107658.66766637262,95345.18416978307
2019-12-12,107740.46321574354,95898.37704755252
2019-12-13,107715.3865532211,96174.97898198552
2019-12-16,107853.80625038789,96359.37660790868
2019-12-17,108237.25379333724,96662.99343196939
2019-12-18,107971.34922949801,96483.22835748678
2019-12-19,108000.44913566552,96486.21356296622
2019-12-20,107438.00356022862,96344.66488390556
2019-12-23,106213.46360694495,95327.05776720634
2019-12-24,108375.17490679736,95835.86132555595
2019-12-25,109116.08393199503,95666.26350908866
2019-12-26,109257.20356167853,96344.66488390556
2019-12-27,107554.97279148876,94225.21049825235
2019-12-30,109117.37595778286,95831.81292859597
2019-12-31,108726.77322607815,95998.01409093423
2020-01-02,114976.37813072979,97937.01224175973
2020-01-03,115366.97310190975,97881.61625711007
2020-01-06,117840.77229481516,97292.52677711743
2020-01-07,121486.37968283475,97295.54307848729
2020-01-08,117970.97837906658,97298.55937985715
2020-01-09,119793.77819281397,97301.57568122701
2020-01-10,119272.97713738262,97304.59198259687
2020-01-13,120965.57862740337,97315.58088670646
2020-01-14,120574.97589569865,97318.59718807632
2020-01-15,120054.1748402673,97321.61348944619
2020-01-16,118752.17608195126,97324.62979081605
2020-01-17,118212.03577828541,97327.64609218591
2020-01-20,118832.93411656423,97338.6349962955
2020-01-21,115744.63415322108,97341.65129766536
2020-01-22,116555.13338026805,97344.66759903522
