date,symbol,name,category,close,change_1d,trailing_amount_20d,listed_sessions,roc20,roc60,momentum_score,selection_score,ma120,ma120_bias,above_ma120,rank,rank_5d_ago,rank_20d_ago,dual_rank_decline,pool_role,pool_eligible,base_entry_pass,technical_entry_pass,final_entry_pass,normal_entry,confirmed_normal_entry,weak_edge_confirmed,historical_fallback,emerging_entry,quality_extension,r2_20,efficiency20,category_breadth,sentiment_matched_count,sentiment_hot_score,sentiment_count_acceleration,sentiment_positive_dde_share,soft_exit_confirmation,hot_exit_protection,missing_data_soft_exit_protection,target_weight
2026-08-18,512040.SH,价值100ETF富国,风格红利,1.22599995136261,0.0040950003368323,221003464.0,1872,0.040747011166004654,0.007395187902050182,0.05183979301907993,0.05183979301907993,1.2178916623195013,0.006657643938268176,True,9.0,10.0,22.0,False,core,True,False,False,False,False,False,False,False,False,False,0.42951374469185355,0.25791444716422185,1.0,0.0,0.2377484214024592,0.0,,True,False,False,0.0
2026-08-18,159647.SZ,中药ETF鹏华,医药医疗,0.912999987602234,-0.010834226111484546,36939476.0,984,-0.018279590773739307,0.04223744408747443,0.04507657535747234,0.04507657535747234,0.9106083333492279,0.002626435719305986,True,10.0,8.0,7.0,True,core,True,False,False,False,False,False,False,False,False,False,0.02009158657811463,0.10312875276353149,0.6666666666666666,0.0,0.1955238451312728,-0.6875,,True,False,False,0.0
2026-08-18,513530.SH,港股通红利ETF华泰柏瑞,港股与亚洲,1.593000054359436,0.0063171888957485045,250298496.0,1048,0.03441564533718289,-0.003128908057861368,0.029722283250390835,0.029722283250390835,1.5815500050783158,0.007239764309920238,True,11.0,20.0,20.0,False,core,True,False,False,False,False,False,False,False,False,False,0.06969785590275368,0.21665527739855184,0.6,0.0,0.3945704553007643,0.0,,True,False,False,0.0
2026-08-18,513090.SH,香港证券ETF易方达,港股与亚洲,1.8179999589920044,-0.006557422755150588,3550505856.0,1552,-0.021528568460712938,0.021348307984839332,0.01049389351654606,0.01049389351654606,1.81709166765213,0.0004998599443515328,True,12.0,9.0,9.0,True,core,True,False,False,False,False,False,False,False,False,False,0.4599266897859468,0.12771443602271007,0.6,0.0,0.3300153705550017,0.0,,True,False,False,0.0
2026-08-18,510500.SH,中证500ETF南方,宽基,8.1850004196167,-0.001463844200067066,2881681280.0,2999,0.05043642350582034,-0.05233294661510768,-0.02806299641684118,-0.02806299641684118,8.169466650485992,0.0019014422599770153,True,13.0,31.0,28.0,False,core,True,False,False,False,False,False,False,False,False,False,0.5893850408829079,0.1722994042891264,0.75,0.0,0.4548882519109338,0.0,,True,False,False,0.0
2026-08-18,510300.SH,沪深300ETF华泰柏瑞,宽基,4.7870001792907715,-0.0029160463695073746,4419746048.0,3000,0.0,-0.030382747553782785,-0.04557412133067418,-0.04557412133067418,4.766066666444143,0.0043921989161446184,True,14.0,26.0,12.0,False,core,True,False,False,False,False,False,False,False,False,False,0.11414624957908173,0.0,0.75,0.0,0.4548882519109338,0.0,,True,False,False,0.0
2026-08-18,159915.SZ,创业板ETF易方达,宽基,3.723000049591065,-0.00878594036260183,6591763968.0,2999,0.00377458575014189,-0.0770946644710564,-0.1118674109564427,-0.1118674109564427,3.6803416669368745,0.011590875661741107,True,15.0,39.0,14.0,False,core,True,False,False,False,False,False,False,False,False,False,0.2745141463077608,0.008858545566085905,0.75,0.0,0.4548882519109338,0.0,,True,False,False,0.0
2026-08-18,512760.SH,芯片ETF国泰,科技数字,1.2020000219345093,-0.0024896438788307718,630866080.0,1745,-0.032984720495941144,-0.05279750090745583,-0.11218097185712489,-0.11218097185712489,1.080316669245561,0.11263674453336514,True,16.0,12.0,1.0,True,core,True,False,False,False,False,False,False,False,False,False,0.0002539682153733851,0.056188802779176546,0.4,5.0,0.279498172150216,-0.1176470588235294,0.0,True,False,False,0.0
2026-08-18,515050.SH,通信ETF华夏,科技数字,1.10099995136261,-0.014324111599960276,1238453120.0,1661,-0.00631776934896866,-0.08630712684550546,-0.13577845961722684,-0.13577845961722684,1.0409499987959863,0.057687643629454444,True,17.0,45.0,13.0,False,core,True,False,False,False,False,False,False,False,False,False,0.1582714022035,0.010045476941341606,0.4,5.0,0.2152608840146228,-0.6774193548387097,0.0,True,False,False,0.0
2026-08-18,159819.SZ,人工智能ETF易方达,科技数字,1.8769999742507937,-0.013662649988056996,623758656.0,1429,-0.0638404652788842,-0.08661804706765452,-0.193767535880366,-0.193767535880366,1.8141000072161357,0.03467282221732759,True,18.0,13.0,5.0,True,core,True,False,False,False,False,False,False,False,False,False,0.006126059756977872,0.13571679326732136,0.4,7.0,0.2761091724825523,-0.5348837209302326,0.0,True,False,False,0.0
2026-08-18,513310.SH,中韩半导体ETF华泰柏瑞,港股与亚洲,5.053999900817871,-0.024324311138281263,15886340608.0,885,0.013028674936495843,-0.1633835468681365,-0.2320466453657089,-0.2320466453657089,4.925966666142146,0.025991494330593445,True,19.0,14.0,2.0,True,core,True,False,False,False,False,False,False,False,False,False,0.025118415241732896,0.021546236933506102,0.6,5.0,0.3962354602858092,-0.1176470588235294,0.0,True,False,False,0.0
2026-08-18,561360.SH,石油ETF国泰,周期资源,1.4800000190734863,0.011619931140545159,82078360.0,680,0.10861421481888378,0.006118329851060533,0.11779170959547458,-9.882208290404526,1.491700001557668,-0.007843388397106854,False,20.0,23.0,33.0,False,challenger,True,False,False,False,False,False,False,False,False,False,0.6993263362487341,0.4193024677342206,1.0,1.0,0.3556513791957461,0.6666666666666667,0.0,True,False,False,0.0
2026-08-18,512400.SH,有色金属ETF南方,周期资源,1.9329999685287476,-0.007700198176269213,1211078976.0,2174,0.13040931310354043,-0.045432159262190464,0.06226107421025473,-9.937738925789745,1.9996166716019312,-0.0333147367789326,False,20.0,18.0,40.0,False,core,True,False,False,False,False,False,False,False,False,False,0.6247537197521248,0.2638492694781468,1.0,4.0,0.371747258225324,-0.0384615384615385,0.0,True,False,False,0.0
2026-08-18,516020.SH,化工ETF华宝,周期资源,0.8730000257492065,0.0011468426079166427,97949824.0,1323,0.07512321535650579,-0.029999945693544472,0.030123296816189082,-9.969876703183811,0.9188416659832,-0.04989068512140338,False,21.0,24.0,35.0,False,core,True,False,False,False,False,False,False,False,False,False,0.5908481675992089,0.28629226803618407,1.0,4.0,0.5890777666999003,2.125,0.0,True,False,False,0.0
2026-08-18,159981.SZ,能源化工ETF建信,商品,1.562999963760376,0.010996093081327318,285175648.0,1595,0.0357853028765307,-0.010759543476720701,0.01964598766144965,-9.98035401233855,1.5668916632731755,-0.0024837068216125857,False,22.0,34.0,23.0,False,core,True,False,False,False,False,False,False,False,False,False,0.023177366707941162,0.14210947666977353,1.0,4.0,0.4873404785643071,2.125,0.0,True,False,False,0.0
2026-08-18,510630.SH,消费ETF华夏,消费农业,0.8209999799728394,0.004895970922854209,50907052.0,3000,0.022415949283051795,-0.0024301747531386697,0.01877068715334379,-9.981229312846656,0.8359750007589658,-0.017913239956375393,False,23.0,16.0,19.0,True,core,True,False,False,False,False,False,False,False,False,False,0.12314538008096852,0.097022267106534,1.0,6.0,0.8500764373546029,0.8421052631578949,0.0,True,False,False,0.0
2026-08-18,159865.SZ,养殖ETF国泰,消费农业,0.5479999780654907,0.02238799331182517,183654408.0,1323,0.04182500802283018,-0.017921235777269673,0.01494315435692567,-9.985056845643074,0.5698166680832704,-0.03828720927235396,False,24.0,25.0,27.0,False,core,True,False,False,False,False,False,False,False,False,False,0.5566008997234928,0.20987544840632585,1.0,6.0,0.884313725490196,2.5,0.0,True,False,False,0.0
2026-08-18,516150.SH,稀土ETF嘉实,周期资源,1.8389999866485596,-0.001628675878615038,132766080.0,1316,0.13238918692435542,-0.08370701813074133,0.006828659728243425,-9.993171340271756,1.935650004943212,-0.049931556866081195,False,25.0,33.0,44.0,False,core,True,False,False,False,False,False,False,False,False,False,0.818932843799323,0.34413658490767,1.0,0.0,0.2173670654702559,-0.5454545454545454,,True,False,False,0.0
2026-08-18,518880.SH,黄金ETF华安,商品,9.07800006866455,0.0011028042631806567,3714118656.0,3000,0.07203585581003646,-0.04562657815702842,0.003595988574493836,-9.996404011425506,9.400458351771038,-0.03430240005751806,False,26.0,22.0,32.0,False,core,True,False,False,False,False,False,False,False,False,False,0.7307277908441872,0.38743689802281667,1.0,0.0,0.1645492688600864,-0.5833333333333333,,True,False,False,0.0
2026-08-18,512070.SH,证券保险ETF易方达,金融地产,0.7770000100135803,-0.011450385731527901,485165136.0,2937,-0.044280457954276264,0.017015721817320584,-0.01875687522829539,-10.018756875228295,0.7984999974568685,-0.026925469645288858,False,27.0,17.0,17.0,True,core,True,False,False,False,False,False,False,False,False,False,0.7670366249179088,0.30745708422007195,0.75,0.0,0.218511133266866,0.0,,True,False,False,0.0
2026-08-18,562600.SH,医疗器械ETF华夏,医药医疗,0.7900000214576721,-0.001264206213079544,27617140.0,651,0.04221636485590685,-0.04242420257834523,-0.02141993901161099,-10.021419939011611,0.8043500021100044,-0.017840468222401706,False,28.0,21.0,26.0,True,core,True,False,False,False,False,False,False,False,False,False,0.8135902505440812,0.25939534109763585,0.6666666666666666,1.0,0.2467530741110003,-0.5833333333333333,0.0,True,False,False,0.0
2026-08-18,512690.SH,酒ETF鹏华,消费农业,0.4329999983310699,0.006976723554909636,809066464.0,1771,0.01882349690764107,-0.03348217641564033,-0.03139976771581943,-10.03139976771582,0.45618333419164014,-0.050820216616749625,False,29.0,15.0,24.0,True,core,True,False,False,False,False,False,False,False,False,False,0.16753514477076012,0.06831542045539728,1.0,0.0,0.2168797773346626,-0.375,,True,False,False,0.0
